"Species_ID","species","Habitat","Suitability"
56304,"Adenomera andreae","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
56304,"Adenomera andreae","14.4. Artificial/Terrestrial - Rural Gardens","Marginal"
56305,"Adenomera araucaria","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56305,"Adenomera araucaria","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56305,"Adenomera araucaria","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56306,"Adenomera bokermanni","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56306,"Adenomera bokermanni","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56306,"Adenomera bokermanni","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56306,"Adenomera bokermanni","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
164916,"Adenomera coca","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56307,"Adenomera diptyx","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56307,"Adenomera diptyx","2.2. Savanna - Moist","Suitable"
56307,"Adenomera diptyx","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56307,"Adenomera diptyx","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
56307,"Adenomera diptyx","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56307,"Adenomera diptyx","14.5. Artificial/Terrestrial - Urban Areas","Suitable"
56307,"Adenomera diptyx","15.8. Artificial/Aquatic - Seasonally Flooded Agricultural Land","Suitable"
56308,"Adenomera heyeri","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56309,"Adenomera hylaedactyla","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56309,"Adenomera hylaedactyla","4.5. Grassland - Subtropical/Tropical Dry","Suitable"
56309,"Adenomera hylaedactyla","14.2. Artificial/Terrestrial - Pastureland","Marginal"
56309,"Adenomera hylaedactyla","14.4. Artificial/Terrestrial - Rural Gardens","Marginal"
56309,"Adenomera hylaedactyla","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56309,"Adenomera hylaedactyla","15.9. Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable"
56310,"Adenomera lutzi","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56310,"Adenomera lutzi","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56311,"Adenomera marmorata","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56311,"Adenomera marmorata","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56311,"Adenomera marmorata","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56312,"Adenomera martinezi","2.2. Savanna - Moist","Suitable"
56312,"Adenomera martinezi","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56312,"Adenomera martinezi","3.7. Shrubland - Subtropical/Tropical High Altitude","Suitable"
56312,"Adenomera martinezi","14.1. Artificial/Terrestrial - Arable Land","Suitable"
56312,"Adenomera martinezi","14.2. Artificial/Terrestrial - Pastureland","Suitable"
56312,"Adenomera martinezi","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
136001,"Adenomera nana","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
136001,"Adenomera nana","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
136001,"Adenomera nana","14.5. Artificial/Terrestrial - Urban Areas","Suitable"
136182,"Adenomera thomei","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
136182,"Adenomera thomei","14.3. Artificial/Terrestrial - Plantations","Suitable"
54457,"Adenomus dasi","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
54458,"Adenomus kandianus","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
54459,"Adenomus kelaartii","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
54459,"Adenomus kelaartii","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
596,"Afrixalus aureus","2.1. Savanna - Dry","Suitable"
596,"Afrixalus aureus","2.2. Savanna - Moist","Suitable"
596,"Afrixalus aureus","3.4. Shrubland - Temperate","Suitable"
596,"Afrixalus aureus","4.4. Grassland - Temperate","Suitable"
56056,"Afrixalus brachycnemis","2.2. Savanna - Moist","Suitable"
56056,"Afrixalus brachycnemis","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56056,"Afrixalus brachycnemis","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
56056,"Afrixalus brachycnemis","14.1. Artificial/Terrestrial - Arable Land","Marginal"
56056,"Afrixalus brachycnemis","14.2. Artificial/Terrestrial - Pastureland","Marginal"
56056,"Afrixalus brachycnemis","15.8. Artificial/Aquatic - Seasonally Flooded Agricultural Land","Suitable"
56057,"Afrixalus clarkei","1.5. Forest - Subtropical/Tropical Dry","Suitable"
56057,"Afrixalus clarkei","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56057,"Afrixalus clarkei","14.3. Artificial/Terrestrial - Plantations","Suitable"
56058,"Afrixalus crotalus","2.2. Savanna - Moist","Suitable"
56058,"Afrixalus crotalus","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56058,"Afrixalus crotalus","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
56058,"Afrixalus crotalus","15.8. Artificial/Aquatic - Seasonally Flooded Agricultural Land","Suitable"
56059,"Afrixalus delicatus","1.5. Forest - Subtropical/Tropical Dry","Suitable"
56059,"Afrixalus delicatus","2.1. Savanna - Dry","Marginal"
56059,"Afrixalus delicatus","2.2. Savanna - Moist","Suitable"
56059,"Afrixalus delicatus","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56059,"Afrixalus delicatus","4.4. Grassland - Temperate","Suitable"
56059,"Afrixalus delicatus","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
56059,"Afrixalus delicatus","14.1. Artificial/Terrestrial - Arable Land","Marginal"
56059,"Afrixalus delicatus","14.2. Artificial/Terrestrial - Pastureland","Marginal"
56059,"Afrixalus delicatus","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56060,"Afrixalus dorsalis","1.6. Forest - Subtropical/Tropical Moist Lowland","Marginal"
56060,"Afrixalus dorsalis","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56060,"Afrixalus dorsalis","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
56060,"Afrixalus dorsalis","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56060,"Afrixalus dorsalis","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56060,"Afrixalus dorsalis","15.8. Artificial/Aquatic - Seasonally Flooded Agricultural Land","Suitable"
56060,"Afrixalus dorsalis","15.9. Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable"
136149,"Afrixalus dorsimaculatus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
136149,"Afrixalus dorsimaculatus","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56061,"Afrixalus enseticola","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56061,"Afrixalus enseticola","4.7. Grassland - Subtropical/Tropical High Altitude","Marginal"
56061,"Afrixalus enseticola","14.3. Artificial/Terrestrial - Plantations","Suitable"
56061,"Afrixalus enseticola","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56062,"Afrixalus equatorialis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56063,"Afrixalus fornasini","1.4. Forest - Temperate","Suitable"
56063,"Afrixalus fornasini","1.5. Forest - Subtropical/Tropical Dry","Suitable"
56063,"Afrixalus fornasini","2.1. Savanna - Dry","Marginal"
56063,"Afrixalus fornasini","2.2. Savanna - Moist","Suitable"
56063,"Afrixalus fornasini","3.4. Shrubland - Temperate","Suitable"
56063,"Afrixalus fornasini","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56063,"Afrixalus fornasini","4.4. Grassland - Temperate","Suitable"
56063,"Afrixalus fornasini","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
56064,"Afrixalus fulvovittatus","2.2. Savanna - Moist","Suitable"
56064,"Afrixalus fulvovittatus","14.3. Artificial/Terrestrial - Plantations","Suitable"
56064,"Afrixalus fulvovittatus","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56064,"Afrixalus fulvovittatus","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56065,"Afrixalus knysnae","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56065,"Afrixalus knysnae","3.8. Shrubland - Mediterranean-type Shrubby Vegetation","Suitable"
56065,"Afrixalus knysnae","14.1. Artificial/Terrestrial - Arable Land","Marginal"
56066,"Afrixalus lacteus","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56067,"Afrixalus laevis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56068,"Afrixalus leucostictus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56070,"Afrixalus morerei","1.9. Forest - Subtropical/Tropical Moist Montane","Marginal"
56070,"Afrixalus morerei","4.7. Grassland - Subtropical/Tropical High Altitude","Suitable"
56070,"Afrixalus morerei","14.2. Artificial/Terrestrial - Pastureland","Suitable"
56071,"Afrixalus nigeriensis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56071,"Afrixalus nigeriensis","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56071,"Afrixalus nigeriensis","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Marginal"
56072,"Afrixalus orophilus","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56072,"Afrixalus orophilus","4.7. Grassland - Subtropical/Tropical High Altitude","Suitable"
56073,"Afrixalus osorioi","1.6. Forest - Subtropical/Tropical Moist Lowland","Marginal"
56073,"Afrixalus osorioi","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56073,"Afrixalus osorioi","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56074,"Afrixalus paradorsalis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56074,"Afrixalus paradorsalis","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56074,"Afrixalus paradorsalis","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56075,"Afrixalus quadrivittatus","2.1. Savanna - Dry","Suitable"
56075,"Afrixalus quadrivittatus","2.2. Savanna - Moist","Suitable"
56075,"Afrixalus quadrivittatus","3.5. Shrubland - Subtropical/Tropical Dry","Suitable"
56075,"Afrixalus quadrivittatus","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56075,"Afrixalus quadrivittatus","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56075,"Afrixalus quadrivittatus","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56075,"Afrixalus quadrivittatus","15.9. Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable"
56077,"Afrixalus septentrionalis","2.1. Savanna - Dry","Suitable"
56077,"Afrixalus septentrionalis","3.5. Shrubland - Subtropical/Tropical Dry","Suitable"
56078,"Afrixalus spinifrons","1.4. Forest - Temperate","Suitable"
56078,"Afrixalus spinifrons","3.4. Shrubland - Temperate","Suitable"
56079,"Afrixalus stuhlmanni","2.2. Savanna - Moist","Suitable"
56079,"Afrixalus stuhlmanni","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56079,"Afrixalus stuhlmanni","14.1. Artificial/Terrestrial - Arable Land","Marginal"
56079,"Afrixalus stuhlmanni","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
56079,"Afrixalus stuhlmanni","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56079,"Afrixalus stuhlmanni","15.8. Artificial/Aquatic - Seasonally Flooded Agricultural Land","Suitable"
56079,"Afrixalus stuhlmanni","15.9. Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable"
56080,"Afrixalus sylvaticus","1.5. Forest - Subtropical/Tropical Dry","Suitable"
56080,"Afrixalus sylvaticus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56080,"Afrixalus sylvaticus","14.3. Artificial/Terrestrial - Plantations","Marginal"
56080,"Afrixalus sylvaticus","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Marginal"
56081,"Afrixalus uluguruensis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56081,"Afrixalus uluguruensis","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56082,"Afrixalus upembae","2.2. Savanna - Moist","Suitable"
56083,"Afrixalus vibekensis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56084,"Afrixalus vittiger","1.6. Forest - Subtropical/Tropical Moist Lowland","Marginal"
56084,"Afrixalus vittiger","2.1. Savanna - Dry","Suitable"
56084,"Afrixalus vittiger","2.2. Savanna - Moist","Suitable"
56084,"Afrixalus vittiger","3.5. Shrubland - Subtropical/Tropical Dry","Suitable"
56084,"Afrixalus vittiger","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56084,"Afrixalus vittiger","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
56084,"Afrixalus vittiger","15.9. Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable"
56085,"Afrixalus weidholzi","2.1. Savanna - Dry","Suitable"
56085,"Afrixalus weidholzi","2.2. Savanna - Moist","Suitable"
56086,"Afrixalus wittei","2.2. Savanna - Moist","Suitable"
56086,"Afrixalus wittei","3.6. Shrubland - Subtropical/Tropical Moist","Suitable"
56086,"Afrixalus wittei","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
55288,"Agalychnis annae","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55288,"Agalychnis annae","14.3. Artificial/Terrestrial - Plantations","Suitable"
55288,"Agalychnis annae","14.5. Artificial/Terrestrial - Urban Areas","Suitable"
55288,"Agalychnis annae","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
55703,"Agalychnis aspera","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55843,"Agalychnis buckleyi","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55843,"Agalychnis buckleyi","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55290,"Agalychnis callidryas","1.5. Forest - Subtropical/Tropical Dry","Suitable"
55290,"Agalychnis callidryas","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55290,"Agalychnis callidryas","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55813,"Agalychnis dacnicolor","1.5. Forest - Subtropical/Tropical Dry","Suitable"
55848,"Agalychnis danieli","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55704,"Agalychnis granulosa","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55852,"Agalychnis hulli","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55855,"Agalychnis lemur","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55855,"Agalychnis lemur","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55292,"Agalychnis litodryas","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55856,"Agalychnis medinae","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55293,"Agalychnis moreletii","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55293,"Agalychnis moreletii","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55293,"Agalychnis moreletii","14.1. Artificial/Terrestrial - Arable Land","Suitable"
55293,"Agalychnis moreletii","14.3. Artificial/Terrestrial - Plantations","Suitable"
55293,"Agalychnis moreletii","14.5. Artificial/Terrestrial - Urban Areas","Suitable"
55861,"Agalychnis psilopygion","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55294,"Agalychnis saltator","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55294,"Agalychnis saltator","1.8. Forest - Subtropical/Tropical Swamp","Suitable"
55295,"Agalychnis spurrelli","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
57383,"Aglyptodactylus laticeps","1.5. Forest - Subtropical/Tropical Dry","Suitable"
57385,"Aglyptodactylus securifer","1.5. Forest - Subtropical/Tropical Dry","Suitable"
57385,"Aglyptodactylus securifer","1.6. Forest - Subtropical/Tropical Moist Lowland","Marginal"
58318,"Alcalus baluensis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
41226,"Alcalus mariae","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56087,"Alexteroon hypsiphonus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56088,"Alexteroon jynx","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56089,"Alexteroon obstetricans","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55045,"Allobates alessandroi","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
190978,"Allobates algorei","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
190978,"Allobates algorei","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Marginal"
55058,"Allobates bromelicola","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55059,"Allobates brunneus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55059,"Allobates brunneus","1.8. Forest - Subtropical/Tropical Swamp","Suitable"
55060,"Allobates caeruleodactylus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
136097,"Allobates caribe","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55066,"Allobates chalcopis","4.6. Grassland - Subtropical/Tropical Seasonally Wet/Flooded","Suitable"
55069,"Allobates crombiei","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55038,"Allobates femoralis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55038,"Allobates femoralis","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Marginal"
55084,"Allobates fratisenescus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55088,"Allobates fuscellus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55089,"Allobates gasconi","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55090,"Allobates goianus","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
136167,"Allobates granti","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55092,"Allobates humilis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55092,"Allobates humilis","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55097,"Allobates insperatus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55099,"Allobates juanii","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55100,"Allobates kingsburyi","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55108,"Allobates mandelorum","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55108,"Allobates mandelorum","3.7. Shrubland - Subtropical/Tropical High Altitude","Suitable"
55110,"Allobates marchesianus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55112,"Allobates masniger","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55113,"Allobates mcdiarmidi","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55114,"Allobates melanolaemus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55228,"Allobates myersi","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55120,"Allobates nidicola","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
136098,"Allobates niputidea","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55122,"Allobates olfersioides","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55122,"Allobates olfersioides","3.5. Shrubland - Subtropical/Tropical Dry","Suitable"
55123,"Allobates ornatus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
190492,"Allobates paleovarzensis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55131,"Allobates picachos","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
61765,"Allobates pittieri","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
61765,"Allobates pittieri","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55141,"Allobates ranoides","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55147,"Allobates sanmartini","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
135872,"Allobates spumaponens","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
135892,"Allobates subfolionidificans","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55155,"Allobates talamancae","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55155,"Allobates talamancae","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Marginal"
55160,"Allobates trilineatus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55161,"Allobates undulatus","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
55163,"Allobates vanzolinius","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55166,"Allobates wayuu","1.5. Forest - Subtropical/Tropical Dry","Suitable"
55039,"Allobates zaparo","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
58426,"Allopaa hazarensis","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
58426,"Allopaa hazarensis","3.7. Shrubland - Subtropical/Tropical High Altitude","Suitable"
59659,"Allophryne ruthveni","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56313,"Alsodes australis","1.3. Forest - Subantarctic","Suitable"
56313,"Alsodes australis","1.4. Forest - Temperate","Suitable"
928,"Alsodes barrioi","1.4. Forest - Temperate","Suitable"
928,"Alsodes barrioi","15.9. Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable"
56314,"Alsodes gargola","1.4. Forest - Temperate","Suitable"
56314,"Alsodes gargola","3.5. Shrubland - Subtropical/Tropical Dry","Suitable"
56315,"Alsodes hugoi","1.4. Forest - Temperate","Suitable"
61800,"Alsodes igneus","1.4. Forest - Temperate","Suitable"
56316,"Alsodes kaweshkari","1.4. Forest - Temperate","Suitable"
56316,"Alsodes kaweshkari","4.1. Grassland - Tundra","Suitable"
929,"Alsodes montanus","3.4. Shrubland - Temperate","Suitable"
930,"Alsodes nodosus","3.4. Shrubland - Temperate","Suitable"
18435553,"Alsodes norae","1.4. Forest - Temperate","Suitable"
40785,"Alsodes tumultuosus","4.4. Grassland - Temperate","Suitable"
54886,"Altiphrynoides osgoodi","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
54886,"Altiphrynoides osgoodi","3.7. Shrubland - Subtropical/Tropical High Altitude","Marginal"
55266,"Alytes cisternasii","1.4. Forest - Temperate","Suitable"
55266,"Alytes cisternasii","3.4. Shrubland - Temperate","Suitable"
55266,"Alytes cisternasii","3.8. Shrubland - Mediterranean-type Shrubby Vegetation","Suitable"
55266,"Alytes cisternasii","14.2. Artificial/Terrestrial - Pastureland","Suitable"
55266,"Alytes cisternasii","15.3. Artificial/Aquatic - Aquaculture Ponds","Suitable"
979,"Alytes dickhilleni","1.4. Forest - Temperate","Suitable"
979,"Alytes dickhilleni","14.2. Artificial/Terrestrial - Pastureland","Marginal"
979,"Alytes dickhilleni","15.3. Artificial/Aquatic - Aquaculture Ponds","Suitable"
55267,"Alytes maurus","1.4. Forest - Temperate","Suitable"
55267,"Alytes maurus","3.8. Shrubland - Mediterranean-type Shrubby Vegetation","Suitable"
55267,"Alytes maurus","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
977,"Alytes muletensis","14.2. Artificial/Terrestrial - Pastureland","Suitable"
55268,"Alytes obstetricans","1.4. Forest - Temperate","Suitable"
55268,"Alytes obstetricans","1.5. Forest - Subtropical/Tropical Dry","Suitable"
55268,"Alytes obstetricans","3.4. Shrubland - Temperate","Suitable"
55268,"Alytes obstetricans","8.2. Desert - Temperate","Marginal"
55268,"Alytes obstetricans","14.2. Artificial/Terrestrial - Pastureland","Marginal"
55268,"Alytes obstetricans","14.5. Artificial/Terrestrial - Urban Areas","Marginal"
54805,"Amazophrynella bokermanni","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
54809,"Amazophrynella minuta","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
