iso3c_producing,GAEZ_category,tonnes_producing_crop
AGO,Sugarbeet,0
AGO,Sugarcane,972497.3818378448
AGO,Sunflower,11977.616473473463
AGO,Tobacco,4541.770347059595
AGO,Vegetables,384258.29476102814
AGO,Wheat,737.26617431640625
AGO,Yamsandotherroots,922.7292165756226
AIA,Banana,0
AIA,Barley,0
AIA,Cassava,0
AIA,Cotton,0
AIA,CropsNES,0
AIA,Groundnut,0
AIA,Maize,0
AIA,Millet,0
AIA,Oilpalmfruit,0
AIA,Olives,0
AIA,Othercereals,0
AIA,PotatoAndSweetpotato,0
AIA,Pulses,0
AIA,Rapeseed,0
AIA,Rice,0
AIA,Sorghum,0
AIA,Soybean,0
AIA,Stimulants,0
AIA,Sugarbeet,0
AIA,Sugarcane,0
AIA,Sunflower,0
AIA,Tobacco,0
AIA,Vegetables,0
AIA,Wheat,0
AIA,Yamsandotherroots,0
ALA,Banana,0
ALA,Barley,18524.13144493103
ALA,Cassava,0
ALA,Cotton,0
ALA,CropsNES,121.04327893257141
ALA,Groundnut,0
ALA,Maize,0
ALA,Millet,0
ALA,Oilpalmfruit,0
ALA,Olives,0
ALA,Othercereals,0.5502773784101009
ALA,PotatoAndSweetpotato,0
ALA,Pulses,0
ALA,Rapeseed,196.18280029296875
ALA,Rice,0
ALA,Sorghum,0
ALA,Soybean,0
ALA,Stimulants,0
ALA,Sugarbeet,0
ALA,Sugarcane,0
ALA,Sunflower,0
ALA,Tobacco,0
ALA,Vegetables,0
ALA,Wheat,6090.718458175659
ALA,Yamsandotherroots,0
ALB,Banana,0
ALB,Barley,12132.128130286932
ALB,Cassava,0
ALB,Cotton,0
ALB,CropsNES,848839.9628939629
ALB,Groundnut,0
ALB,Maize,410507.8589682579
ALB,Millet,0
ALB,Oilpalmfruit,0
ALB,Olives,112437.59707641602
ALB,Othercereals,37250.713353700936
ALB,PotatoAndSweetpotato,257956.32360454835
ALB,Pulses,25147.192047245335
ALB,Rapeseed,0.05980091542005539
ALB,Rice,0
ALB,Sorghum,0
ALB,Soybean,1.1211929321289062
ALB,Stimulants,0
ALB,Sugarbeet,28336.051059305668
ALB,Sugarcane,0
ALB,Sunflower,1123.0811549425125
ALB,Tobacco,1477.901143496856
ALB,Vegetables,983780.1929579526
ALB,Wheat,230289.55520570278
ALB,Yamsandotherroots,0
AND,Banana,0
AND,Barley,0
AND,Cassava,0
AND,Cotton,0
AND,CropsNES,0
AND,Groundnut,0
AND,Maize,0
AND,Millet,0
AND,Oilpalmfruit,0
AND,Olives,0
AND,Othercereals,0
AND,PotatoAndSweetpotato,0
AND,Pulses,0
AND,Rapeseed,0
AND,Rice,0
AND,Sorghum,0
AND,Soybean,0
AND,Stimulants,0
AND,Sugarbeet,0
AND,Sugarcane,0
AND,Sunflower,0
AND,Tobacco,0
AND,Vegetables,0
AND,Wheat,0
AND,Yamsandotherroots,0
ARE,Banana,0
ARE,Barley,75.45786905288696
ARE,Cassava,0
ARE,Cotton,0
ARE,CropsNES,403981.90587234497
ARE,Groundnut,0
ARE,Maize,0
ARE,Millet,0
ARE,Oilpalmfruit,0
ARE,Olives,0
ARE,Othercereals,33.524113178253174
ARE,PotatoAndSweetpotato,19.82888901233673
ARE,Pulses,0
ARE,Rapeseed,0
ARE,Rice,0
ARE,Sorghum,686.5539627075195
ARE,Soybean,0
ARE,Stimulants,0
ARE,Sugarbeet,0
ARE,Sugarcane,0
ARE,Sunflower,0
ARE,Tobacco,322.4205928235315
ARE,Vegetables,355003.19285964966
ARE,Wheat,24.861263751983643
ARE,Yamsandotherroots,0
ARG,Banana,0
ARG,Barley,4100436.5045277923
ARG,Cassava,106.47096252441406
ARG,Cotton,985104.0497561619
ARG,CropsNES,7408684.9827093
ARG,Groundnut,1295770.0464867353
ARG,Maize,58563261.15951413
ARG,Millet,0
ARG,Oilpalmfruit,0
ARG,Olives,184569.85176444054
ARG,Othercereals,798756.536227328
ARG,PotatoAndSweetpotato,3212848.8059576503
ARG,Pulses,826108.4003928271
ARG,Rapeseed,0
ARG,Rice,1288792.1016958058
ARG,Sorghum,2248672.7921785563
ARG,Soybean,50081155.7991842
ARG,Stimulants,529566.6764901145
ARG,Sugarbeet,0
ARG,Sugarcane,22784662.239551544
ARG,Sunflower,3489846.4801912606
ARG,Tobacco,108376.96219771542
ARG,Vegetables,3518027.702296822
ARG,Wheat,22232428.485334195
ARG,Yamsandotherroots,0
ARM,Banana,0
ARM,Barley,57897.73585444689
ARM,Cassava,0
ARM,Cotton,0
ARM,CropsNES,504561.5317993164
ARM,Groundnut,0
ARM,Maize,4402.238175129052
ARM,Millet,0
ARM,Oilpalmfruit,0
ARM,Olives,0
ARM,Othercereals,10520.70059812069
ARM,PotatoAndSweetpotato,358751.99993515015
ARM,Pulses,3109.086512312293
ARM,Rapeseed,0
ARM,Rice,0
ARM,Sorghum,0
ARM,Soybean,0
ARM,Stimulants,0
ARM,Sugarbeet,46287.50736064464
ARM,Sugarcane,0
ARM,Sunflower,39.923641204833984
ARM,Tobacco,471.0765548683703
ARM,Vegetables,408718.52442264557
ARM,Wheat,98649.66254539043
ARM,Yamsandotherroots,0
ASM,Banana,0
ASM,Barley,0
ASM,Cassava,0
ASM,Cotton,0
ASM,CropsNES,0
ASM,Groundnut,0
ASM,Maize,0
ASM,Millet,0
ASM,Oilpalmfruit,0
ASM,Olives,0
ASM,Othercereals,0
ASM,PotatoAndSweetpotato,0
ASM,Pulses,0
ASM,Rapeseed,0
ASM,Rice,0
ASM,Sorghum,0
ASM,Soybean,0
ASM,Stimulants,0
ASM,Sugarbeet,0
ASM,Sugarcane,0
ASM,Sunflower,0
ASM,Tobacco,0
ASM,Vegetables,0
ASM,Wheat,0
ASM,Yamsandotherroots,0
ATG,Banana,40.37759846448898
ATG,Barley,0
ATG,Cassava,53.72005155775696
ATG,Cotton,105.46941894292831
ATG,CropsNES,9004.986328125
ATG,Groundnut,0
ATG,Maize,21.97667920589447
ATG,Millet,0
ATG,Oilpalmfruit,0
ATG,Olives,0
ATG,Othercereals,0
ATG,PotatoAndSweetpotato,116.19110774993896
ATG,Pulses,0
ATG,Rapeseed,0
ATG,Rice,0
ATG,Sorghum,0
ATG,Soybean,0
ATG,Stimulants,0
ATG,Sugarbeet,0
ATG,Sugarcane,0
ATG,Sunflower,0
ATG,Tobacco,0
ATG,Vegetables,1036.638587474823
ATG,Wheat,0
ATG,Yamsandotherroots,190.4049153327942
AUS,Banana,513624.2349907907
AUS,Barley,10888200.939261045
AUS,Cassava,0
AUS,Cotton,881167.6646003239
AUS,CropsNES,4709679.1546579
AUS,Groundnut,0
AUS,Maize,300254.66256564774
AUS,Millet,0
AUS,Oilpalmfruit,0
AUS,Olives,68927.16961613353
AUS,Othercereals,1644438.4907402662
AUS,PotatoAndSweetpotato,1251285.701539318
AUS,Pulses,1636580.8876439952
AUS,Rapeseed,3179349.9471432567
AUS,Rice,180885.09599418007
AUS,Sorghum,1081746.755574909
AUS,Soybean,0
AUS,Stimulants,0
AUS,Sugarbeet,0
AUS,Sugarcane,30942109.208464153
AUS,Sunflower,0
AUS,Tobacco,0
AUS,Vegetables,1648373.6678830776
AUS,Wheat,21498203.27045968
AUS,Yamsandotherroots,0
AUT,Banana,0
AUT,Barley,816724.8659641892
AUT,Cassava,0
AUT,Cotton,0
AUT,CropsNES,990688.1192429066
AUT,Groundnut,0
AUT,Maize,2354862.7156834602
AUT,Millet,0
AUT,Oilpalmfruit,0
AUT,Olives,0
AUT,Othercereals,905184.8156693354
AUT,PotatoAndSweetpotato,801032.0700104311
AUT,Pulses,41547.186901509995
AUT,Rapeseed,98978.09573601186
AUT,Rice,0
AUT,Sorghum,0
AUT,Soybean,240439.94701480865
AUT,Stimulants,0
AUT,Sugarbeet,2364507.6792547703
AUT,Sugarcane,0
AUT,Sunflower,67024.0918032229
AUT,Tobacco,0
AUT,Vegetables,585840.5716855298
AUT,Wheat,1601198.616811078
AUT,Yamsandotherroots,0
AZE,Banana,0
AZE,Barley,1053009.123768434
AZE,Cassava,0
AZE,Cotton,312748.6812768029
AZE,CropsNES,2012803.7143368125
AZE,Groundnut,0
AZE,Maize,301559.46998451656
AZE,Millet,0
AZE,Oilpalmfruit,0
AZE,Olives,0
AZE,Othercereals,3763.0579698085785
AZE,PotatoAndSweetpotato,1140691.167501457
AZE,Pulses,26318.315612532664
AZE,Rapeseed,0
AZE,Rice,396.8401184082031
AZE,Sorghum,0
AZE,Soybean,19.888490587472916
AZE,Stimulants,20881.78392203543
AZE,Sugarbeet,215737.092050449
AZE,Sugarcane,0
AZE,Sunflower,27662.55077915918
AZE,Tobacco,7858.667120975473
AZE,Vegetables,2127557.9867994394
AZE,Wheat,1968825.9947195202
AZE,Yamsandotherroots,0
BDI,Banana,1901485.978668213
BDI,Barley,0
BDI,Cassava,2358451.3665161133
BDI,Cotton,1736.2423072755337
BDI,CropsNES,133418.14311736822
BDI,Groundnut,9638.212574958801
BDI,Maize,275044.1611881256
BDI,Millet,11807.484312027693
BDI,Oilpalmfruit,88333.00390625
BDI,Olives,0
BDI,Othercereals,11660.585417360067
BDI,PotatoAndSweetpotato,1273343.8334350586
BDI,Pulses,587795.5609374046
BDI,Rapeseed,0
BDI,Rice,177439.16464996338
BDI,Sorghum,20002.674015522003
BDI,Soybean,3071.621275573969
BDI,Stimulants,20043.3942001462
BDI,Sugarbeet,0
BDI,Sugarcane,181241.03280448914
BDI,Sunflower,564.9261627197266
BDI,Tobacco,1349.084463968873
BDI,Vegetables,503496.8086280823
BDI,Wheat,7367.913314819336
BDI,Yamsandotherroots,140189.47959899902
BEL,Banana,0
BEL,Barley,360164.3552532196
BEL,Cassava,0
BEL,Cotton,0
BEL,CropsNES,635960.6511211395
BEL,Groundnut,0
BEL,Maize,430406.7986488342
BEL,Millet,0
BEL,Oilpalmfruit,0
BEL,Olives,0
BEL,Othercereals,112720.56151118875
BEL,PotatoAndSweetpotato,3843063.122571945
BEL,Pulses,3713.148494720459
BEL,Rapeseed,34357.09694433212
BEL,Rice,0
BEL,Sorghum,0
BEL,Soybean,0
BEL,Stimulants,0
BEL,Sugarbeet,4952227.347747803
BEL,Sugarcane,0
BEL,Sunflower,54.09358072280884
BEL,Tobacco,0
BEL,Vegetables,1968371.2454366684
BEL,Wheat,1807163.2140522003
BEL,Yamsandotherroots,0
BEN,Banana,32403.156246185303
BEN,Barley,0
BEN,Cassava,4514469.16315341
BEN,Cotton,721945.7763914466
BEN,CropsNES,938095.1052913666
BEN,Groundnut,174723.48552504182
BEN,Maize,1554211.6647081375
BEN,Millet,25148.79450137273
BEN,Oilpalmfruit,592729.8719291687
BEN,Olives,0
BEN,Othercereals,0
BEN,PotatoAndSweetpotato,58318.158757355064
BEN,Pulses,198397.2038694322
BEN,Rapeseed,0
BEN,Rice,409390.72292613983
BEN,Sorghum,154333.70327699184
BEN,Soybean,56918.06520700455
BEN,Stimulants,324.3214416503906
BEN,Sugarbeet,0
BEN,Sugarcane,225.74044799804688
BEN,Sunflower,0
BEN,Tobacco,0
BEN,Vegetables,804078.6505823731
BEN,Wheat,0
BEN,Yamsandotherroots,3239971.8623859882
BES,Banana,0
BES,Barley,0
BES,Cassava,0
BES,Cotton,0
BES,CropsNES,0
BES,Groundnut,0
BES,Maize,0
BES,Millet,0
BES,Oilpalmfruit,0
BES,Olives,0
BES,Othercereals,0
BES,PotatoAndSweetpotato,0
BES,Pulses,0
BES,Rapeseed,0
BES,Rice,0
BES,Sorghum,0
BES,Soybean,0
BES,Stimulants,0
BES,Sugarbeet,0
BES,Sugarcane,0
BES,Sunflower,0
BES,Tobacco,0
BES,Vegetables,0
BES,Wheat,0
BES,Yamsandotherroots,0
BFA,Banana,0
BFA,Barley,0
BFA,Cassava,118.46140158176422
BFA,Cotton,725099.5714942217
BFA,CropsNES,563176.3357162648
BFA,Groundnut,428832.5691579487
BFA,Maize,1862414.433937247
BFA,Millet,880803.8368585408
BFA,Oilpalmfruit,0
BFA,Olives,0
BFA,Othercereals,14295.419669789035
BFA,PotatoAndSweetpotato,114700.12579505944
BFA,Pulses,794837.9060225487
BFA,Rapeseed,0
BFA,Rice,428145.54760395363
BFA,Sorghum,1779470.8486127518
BFA,Soybean,68246.52500343323
BFA,Stimulants,0
BFA,Sugarbeet,0
BFA,Sugarcane,507739.2851715088
BFA,Sunflower,0
BFA,Tobacco,30.595731552690268
BFA,Vegetables,336978.9578019362
BFA,Wheat,137.7781524658203
BFA,Yamsandotherroots,59974.48793235421
BGD,Banana,1260526.946658492
BGD,Barley,4.487929582595825
BGD,Cassava,7701.818115234375
BGD,Cotton,77244.48166697752
BGD,CropsNES,7100670.615730286
BGD,Groundnut,63152.48034688085
BGD,Maize,2341768.534500122
BGD,Millet,110.05111622810364
BGD,Oilpalmfruit,0
BGD,Olives,0
BGD,Othercereals,0
BGD,PotatoAndSweetpotato,9843734.96766293
BGD,Pulses,532015.4479182996
BGD,Rapeseed,359792.63445818797
BGD,Rice,55393518.83213425
BGD,Sorghum,549.7272185310721
BGD,Soybean,82578.78395819664
BGD,Stimulants,90937.94389676303
BGD,Sugarbeet,0
BGD,Sugarcane,3425430.498550236
BGD,Sunflower,1.1384918689727783
BGD,Tobacco,100116.84513491392
BGD,Vegetables,6260446.649429321
BGD,Wheat,1050465.1719679367
BGD,Yamsandotherroots,0
BGR,Banana,0
BGR,Barley,608930.9572537392
BGR,Cassava,0
BGR,Cotton,0
BGR,CropsNES,582020.8050466366
BGR,Groundnut,0
BGR,Maize,3381707.7598006725
BGR,Millet,0
BGR,Oilpalmfruit,0
BGR,Olives,268.67486572265625
BGR,Othercereals,93820.27922545373
BGR,PotatoAndSweetpotato,203004.7031081654
BGR,Pulses,50024.92972810648
BGR,Rapeseed,356818.21671853215
BGR,Rice,63891.44646906853
BGR,Sorghum,0
BGR,Soybean,0
BGR,Stimulants,0
BGR,Sugarbeet,5698.69270324707
BGR,Sugarcane,0
BGR,Sunflower,1873177.3164127916
BGR,Tobacco,6186.539661254734
BGR,Vegetables,369075.381074667
BGR,Wheat,6104446.506114483
BGR,Yamsandotherroots,0
BHR,Banana,0
BHR,Barley,0
BHR,Cassava,0
BHR,Cotton,0
BHR,CropsNES,19508.061279296875
BHR,Groundnut,0
BHR,Maize,0
BHR,Millet,0
BHR,Oilpalmfruit,0
BHR,Olives,0
BHR,Othercereals,0
BHR,PotatoAndSweetpotato,69.13328123092651
BHR,Pulses,215.39962577819824
BHR,Rapeseed,0
BHR,Rice,0
BHR,Sorghum,0
BHR,Soybean,0
BHR,Stimulants,0
BHR,Sugarbeet,0
BHR,Sugarcane,0
BHR,Sunflower,0
BHR,Tobacco,0
BHR,Vegetables,20009.42919921875
BHR,Wheat,0
BHR,Yamsandotherroots,0
BHS,Banana,14456.561020821333
BHS,Barley,0
BHS,Cassava,731.5621973401867
BHS,Cotton,0
BHS,CropsNES,41475.35790729523
BHS,Groundnut,0
BHS,Maize,775.8625574111938
BHS,Millet,0
BHS,Oilpalmfruit,0
BHS,Olives,0
BHS,Othercereals,0
BHS,PotatoAndSweetpotato,1092.3982298165793
BHS,Pulses,181.41794480755925
BHS,Rapeseed,0
BHS,Rice,0
BHS,Sorghum,0
BHS,Soybean,0
BHS,Stimulants,0
BHS,Sugarbeet,0
BHS,Sugarcane,55717.80191040039
BHS,Sunflower,0
BHS,Tobacco,0
BHS,Vegetables,27837.215097427368
BHS,Wheat,0
BHS,Yamsandotherroots,0
BIH,Banana,0
BIH,Barley,85925.61167383194
BIH,Cassava,0
BIH,Cotton,0
BIH,CropsNES,435810.5852921605
BIH,Groundnut,0
BIH,Maize,1208128.0624825954
BIH,Millet,0
BIH,Oilpalmfruit,0
BIH,Olives,11989.307708740234
BIH,Othercereals,103974.48609548807
BIH,PotatoAndSweetpotato,391014.3704262376
BIH,Pulses,17803.155627161264
BIH,Rapeseed,2125.1913816928864
BIH,Rice,0
BIH,Sorghum,0
BIH,Soybean,34361.29845190048
BIH,Stimulants,0
BIH,Sugarbeet,32832.60333251953
BIH,Sugarcane,0
BIH,Sunflower,3059.812424659729
BIH,Tobacco,1440.0553927607834
BIH,Vegetables,788588.3722088337
BIH,Wheat,313382.6828889847
BIH,Yamsandotherroots,0
BLM,Banana,0
BLM,Barley,0
BLM,Cassava,0
BLM,Cotton,0
BLM,CropsNES,0
BLM,Groundnut,0
BLM,Maize,0
BLM,Millet,0
BLM,Oilpalmfruit,0
BLM,Olives,0
BLM,Othercereals,0
BLM,PotatoAndSweetpotato,0
BLM,Pulses,0
BLM,Rapeseed,0
BLM,Rice,0
BLM,Sorghum,0
BLM,Soybean,0
BLM,Stimulants,0
BLM,Sugarbeet,0
BLM,Sugarcane,0
BLM,Sunflower,0
BLM,Tobacco,0
BLM,Vegetables,0
BLM,Wheat,0
BLM,Yamsandotherroots,0
BLR,Banana,0
BLR,Barley,1186730.5938526392
BLR,Cassava,0
BLR,Cotton,0
BLR,CropsNES,744476.3613820672
BLR,Groundnut,0
BLR,Maize,1124415.3879668415
BLR,Millet,0
BLR,Oilpalmfruit,0
BLR,Olives,0
BLR,Othercereals,2813337.6070371866
BLR,PotatoAndSweetpotato,5393651.49014473
BLR,Pulses,325601.40780600905
BLR,Rapeseed,679013.3143649101
BLR,Rice,0
BLR,Sorghum,0
BLR,Soybean,110.43243598937988
BLR,Stimulants,0
BLR,Sugarbeet,4266445.005699158
BLR,Sugarcane,0
BLR,Sunflower,3529.5405687185703
BLR,Tobacco,0
BLR,Vegetables,1830870.4087599516
BLR,Wheat,2534089.8460845947
BLR,Yamsandotherroots,0
BLZ,Banana,134863.9009437561
BLZ,Barley,0
BLZ,Cassava,0
BLZ,Cotton,0
BLZ,CropsNES,112450.97536206245
BLZ,Groundnut,0
BLZ,Maize,77893.69000095129
BLZ,Millet,0
BLZ,Oilpalmfruit,0
BLZ,Olives,0
BLZ,Othercereals,0
BLZ,PotatoAndSweetpotato,1647.587646016873
BLZ,Pulses,9530.80639373837
BLZ,Rapeseed,0
BLZ,Rice,16100.873655942502
BLZ,Sorghum,10749.623362771701
BLZ,Soybean,9260.243550658226
BLZ,Stimulants,0
BLZ,Sugarbeet,0
BLZ,Sugarcane,1721352.5052947998
BLZ,Sunflower,0
BLZ,Tobacco,0
BLZ,Vegetables,9333.474041709676
BLZ,Wheat,0
BLZ,Yamsandotherroots,6769.075256882003
BMU,Banana,0
BMU,Barley,0
BMU,Cassava,0
BMU,Cotton,0
BMU,CropsNES,0
BMU,Groundnut,0
BMU,Maize,0
BMU,Millet,0
BMU,Oilpalmfruit,0
BMU,Olives,0
BMU,Othercereals,0
BMU,PotatoAndSweetpotato,0
BMU,Pulses,0
BMU,Rapeseed,0
BMU,Rice,0
BMU,Sorghum,0
BMU,Soybean,0
BMU,Stimulants,0
BMU,Sugarbeet,0
BMU,Sugarcane,0
BMU,Sunflower,0
BMU,Tobacco,0
BMU,Vegetables,0
BMU,Wheat,0
BMU,Yamsandotherroots,0
BOL,Banana,395332.5823207225
BOL,Barley,47878.68590797382
BOL,Cassava,222751.85301331885
BOL,Cotton,187623.30938790226
BOL,CropsNES,801443.0123137533
BOL,Groundnut,27279.35810881201
BOL,Maize,1069177.582347827
BOL,Millet,0
BOL,Oilpalmfruit,94.10034024715424
BOL,Olives,0
BOL,Othercereals,82442.79178462518
BOL,PotatoAndSweetpotato,1286609.338535948
BOL,Pulses,123518.81522293575
BOL,Rapeseed,0
BOL,Rice,545389.0865597512
BOL,Sorghum,1149345.33651945
BOL,Soybean,3067496.189951122
BOL,Stimulants,32664.968473044995
BOL,Sugarbeet,0
BOL,Sugarcane,9904390.39830039
BOL,Sunflower,163221.97231711727
BOL,Tobacco,1606.2538128746673
BOL,Vegetables,430156.5352822057
BOL,Wheat,294717.2120048967
BOL,Yamsandotherroots,385370.6502799494
BRA,Banana,10144095.52284779
BRA,Barley,55.06934803724289
BRA,Cassava,17971356.03213733
BRA,Cotton,6557085.243774267
BRA,CropsNES,37492939.79483046
BRA,Groundnut,675301.5766373309
BRA,Maize,97849098.5821936
BRA,Millet,0
BRA,Oilpalmfruit,2779301.591342492
BRA,Olives,0
BRA,Othercereals,231.053143442492
BRA,PotatoAndSweetpotato,4603382.125618758
BRA,Pulses,2963883.8086687485
BRA,Rapeseed,252.26947212219238
BRA,Rice,11051945.42549425
BRA,Sorghum,2649938.651848917
BRA,Soybean,123710094.08597076
BRA,Stimulants,4049056.365506513
BRA,Sugarbeet,0
BRA,Sugarcane,742001105.1547205
BRA,Sunflower,450.7119327634573
BRA,Tobacco,738492.6570364052
BRA,Vegetables,8594538.802819405
BRA,Wheat,6598311.022029806
BRA,Yamsandotherroots,2774.9461221694946
BRB,Banana,0
BRB,Barley,0
BRB,Cassava,0
BRB,Cotton,0
BRB,CropsNES,0
BRB,Groundnut,0
BRB,Maize,0
BRB,Millet,0
BRB,Oilpalmfruit,0
BRB,Olives,0
BRB,Othercereals,0
BRB,PotatoAndSweetpotato,0
BRB,Pulses,0
BRB,Rapeseed,0
BRB,Rice,0
BRB,Sorghum,0
BRB,Soybean,0
BRB,Stimulants,0
BRB,Sugarbeet,0
BRB,Sugarcane,0
BRB,Sunflower,0
BRB,Tobacco,0
BRB,Vegetables,0
BRB,Wheat,0
BRB,Yamsandotherroots,0
BRN,Banana,1619.019562959671
BRN,Barley,0
BRN,Cassava,2872.8265693187714
BRN,Cotton,0
BRN,CropsNES,20967.51786994934
BRN,Groundnut,0
BRN,Maize,0
BRN,Millet,0
BRN,Oilpalmfruit,17017.01953125
BRN,Olives,0
BRN,Othercereals,0
BRN,PotatoAndSweetpotato,238.71314319223166
BRN,Pulses,0
BRN,Rapeseed,0
BRN,Rice,2339.339828485623
BRN,Sorghum,0
BRN,Soybean,0
BRN,Stimulants,0
BRN,Sugarbeet,0
BRN,Sugarcane,0
BRN,Sunflower,0
BRN,Tobacco,0
BRN,Vegetables,0
BRN,Wheat,0
BRN,Yamsandotherroots,479.94870924949646
BTN,Banana,6150.029365539551
BTN,Barley,960.6168284085652
BTN,Cassava,2777.6041736602783
BTN,Cotton,88.48005919158459
BTN,CropsNES,101049.6653585732
BTN,Groundnut,0
BTN,Maize,46936.15845474601
BTN,Millet,1399.564037233591
BTN,Oilpalmfruit,0
BTN,Olives,0
BTN,Othercereals,3642.9462948351866
BTN,PotatoAndSweetpotato,51123.11139023118
BTN,Pulses,6132.374093112725
BTN,Rapeseed,71.89314270019531
BTN,Rice,53345.51636695862
BTN,Sorghum,26.57345762848854
BTN,Soybean,514.3363799611107
BTN,Stimulants,0
BTN,Sugarbeet,0
BTN,Sugarcane,5742.134462356567
BTN,Sunflower,0
BTN,Tobacco,172.58169174194336
BTN,Vegetables,35114.51595588768
BTN,Wheat,2359.0776585564017
BTN,Yamsandotherroots,27316.090860828757
BWA,Banana,37.310211181640625
BWA,Barley,0
BWA,Cassava,0
BWA,Cotton,878.8937945514917
BWA,CropsNES,24023.34281892608
BWA,Groundnut,1746.9162410037388
BWA,Maize,40034.72691006285
BWA,Millet,2394.279082382236
BWA,Oilpalmfruit,0
BWA,Olives,0
BWA,Othercereals,3994.7694972721
BWA,PotatoAndSweetpotato,51.48305130004883
BWA,Pulses,5943.026495158974
BWA,Rapeseed,0
BWA,Rice,0
BWA,Sorghum,63034.54658619221
BWA,Soybean,0
BWA,Stimulants,0
BWA,Sugarbeet,0
BWA,Sugarcane,5639.50439453125
BWA,Sunflower,543.1602497468994
BWA,Tobacco,0
BWA,Vegetables,68087.31336175045
BWA,Wheat,0
BWA,Yamsandotherroots,94222.44899581606
CAF,Banana,158764.7963391128
CAF,Barley,0
CAF,Cassava,807982.7632554024
CAF,Cotton,36859.13065595081
CAF,CropsNES,207609.87957747505
CAF,Groundnut,137874.50886277482
CAF,Maize,101530.63517202783
CAF,Millet,10948.018636409191
CAF,Oilpalmfruit,4433.645677875844
CAF,Olives,0
CAF,Othercereals,271.8214416503906
CAF,PotatoAndSweetpotato,536.5963185648279
CAF,Pulses,34319.53331051374
CAF,Rapeseed,0
CAF,Rice,13647.143766256544
CAF,Sorghum,33683.75449779773
CAF,Soybean,0.669275164604187
CAF,Stimulants,10199.761026375312
CAF,Sugarbeet,0
CAF,Sugarcane,103922.58780169542
CAF,Sunflower,0
CAF,Tobacco,562.9128998460976
CAF,Vegetables,100657.03775327234
CAF,Wheat,0
CAF,Yamsandotherroots,739597.2727686167
CAN,Banana,0
CAN,Barley,9259639.774419105
CAN,Cassava,0
CAN,Cotton,0
CAN,CropsNES,1620293.4035975283
CAN,Groundnut,0
CAN,Maize,13230769.73782301
CAN,Millet,0
CAN,Oilpalmfruit,0
CAN,Olives,0
CAN,Othercereals,4610854.495247355
CAN,PotatoAndSweetpotato,5082661.909112181
CAN,Pulses,6335100.1778059155
CAN,Rapeseed,17520327.6216999
CAN,Rice,0
CAN,Sorghum,0
CAN,Soybean,6060256.14728792
CAN,Stimulants,0
CAN,Sugarbeet,991128.1605365351
CAN,Sugarcane,0
CAN,Sunflower,81984.16221684916
CAN,Tobacco,30859.37826873362
CAN,Vegetables,2424662.333579479
CAN,Wheat,30027425.366530087
CAN,Yamsandotherroots,0
CCK,Banana,0
CCK,Barley,0
CCK,Cassava,0
CCK,Cotton,0
CCK,CropsNES,0
CCK,Groundnut,0
CCK,Maize,0
CCK,Millet,0
CCK,Oilpalmfruit,0
CCK,Olives,0
CCK,Othercereals,0
CCK,PotatoAndSweetpotato,0
CCK,Pulses,0
CCK,Rapeseed,0
CCK,Rice,0
CCK,Sorghum,0
CCK,Soybean,0
CCK,Stimulants,0
CCK,Sugarbeet,0
CCK,Sugarcane,0
CCK,Sunflower,0
CCK,Tobacco,0
CCK,Vegetables,0
CCK,Wheat,0
