"species","genus","depth_position","source","DepthPrefMin","DepthPrefMax","SpeciesID","SpecCode"
"petroscirtes xestus","petroscirtes","reef","fishbase",1,7,"Fis-31638",6077
"odonus niger","odonus","reef","fishbase",8,23,"Fis-23670",1311
"beryx decadactylus","beryx","benthic","fishbase",200,400,"Fis-29731",1319
"bothus pantherinus","bothus","reef","fishbase",18,74,"Fis-21893",1321
"osmerus eperlanus","osmerus","pelagic","fishbase",6,50,"Fis-23705",1334
"pegusa lascaris","pegusa","benthic","fishbase",20,50,"Fis-23717",1336
"trachurus trachurus","trachurus","pelagic","fishbase",100,200,"Fis-23873",1365
"aspidontus dussumieri","aspidontus","reef","fishbase",3,11,"Fis-25991",6065
"parenchelyurus hepburni","parenchelyurus","reef","fishbase",1,3,"Fis-25990",6064
"etrumeus sadina","etrumeus","pelagic","fishbase",13,61,"Fis-586",1455
"blenniella periophthalmus","blenniella","reef","fishbase",0,2,"Fis-50786",6051
"istiblennius edentulus","istiblennius","reef","fishbase",0,1,"Fis-25979",6049
"brevoortia smithi","brevoortia","pelagic","fishbase",5,26,"Fis-29741",1591
"ophisurus serpens","ophisurus","benthic","fishbase",35,140,"Fis-23679",1745
"upeneus taeniopterus","upeneus","reef","fishbase",6,26,"Fis-31616",5995
"lethrinus obsoletus","lethrinus","reef","fishbase",3,16,"Fis-23593",1847
"lethrinus rubrioperculatus","lethrinus","reef","fishbase",30,100,"Fis-30238",1848
"synanceia verrucosa","synanceia","reef","fishbase",3,16,"Fis-31552",5825
"lethrinus xanthochilus","lethrinus","reef","fishbase",20,75,"Fis-30241",1852
"lethrinus atkinsoni","lethrinus","reef","fishbase",2,18,"Fis-30224",1854
"lethrinus olivaceus","lethrinus","reef","fishbase",21,89,"Fis-30235",1864
"carangoides ferdau","carangoides","reef","fishbase",7,31,"Fis-23416",1921
"apogon coccineus","apogon","reef","fishbase",10,22,"Fis-31516",5752
"scomberoides lysan","scomberoides","reef","fishbase",10,50,"Fis-23798",1951
"trachinotus baillonii","trachinotus","reef","fishbase",0,2,"Fis-23861",1978
"labroides pectoralis","labroides","reef","fishbase",4,17,"Fis-31478",5651
"raja clavata","raja","benthic","fishbase",134,445,"Fis-30563",2059
"echeneis naucrates","echeneis","reef","fishbase",9,43,"Fis-22182",2467
"thalassoma amblycephalum","thalassoma","reef","fishbase",1,15,"Fis-25732",5642
"stethojulis strigiventer","stethojulis","reef","fishbase",3,9,"Fis-25731",5641
"narcine brasiliensis","narcine","reef","fishbase",5,23,"Fis-24140",2551
"tetronarce nobiliana","tetronarce","benthopelagic","fishbase",10,150,"Fis-7801",2553
"pseudocoris yamashiroi","pseudocoris","reef","fishbase",7,18,"Fis-25729",5639
"coregonus autumnalis","coregonus","pelagic","fishbase",5,26,"Fis-48198",2669
"cheilopogon hubbsi","cheilopogon","pelagic","fishbase",2,11,"Fis-131247",3154
"euleptorhamphus viridis","euleptorhamphus","pelagic","fishbase",0,1,"Fis-30015",3156
"fundulus confluentus","fundulus","benthopelagic","fishbase",1,6,"Fis-30023",3189
"syngnathus louisianae","syngnathus","reef","fishbase",2,6,"Fis-30694",3304
"centropristis philadelphica","centropristis","reef","fishbase",26,87,"Fis-24487",3317
"apogon guadalupensis","apogon","benthic","fishbase",10,14,"Fis-24429",3523
"brama japonica","brama","pelagic","fishbase",311,432,"Fis-29736",3555
"brama orcini","brama","benthopelagic","fishbase",160,528,"Fis-29737",3556
"pseudocheilinus hexataenia","pseudocheilinus","reef","fishbase",4,35,"Fis-25716",5617
"iniistius pavo","iniistius","reef","fishbase",20,50,"Fis-7176",5613
"cheilinus undulatus","cheilinus","reef","fishbase",11,50,"Fis-31463",5604
"oxycheilinus digramma","oxycheilinus","reef","fishbase",8,32,"Fis-149118",5599
"cheilinus chlorourus","cheilinus","reef","fishbase",4,16,"Fis-25705",5598
"pseudodax moluccanus","pseudodax","reef","fishbase",4,40,"Fis-25703",5594
"microgobius gulosus","microgobius","benthic","fishbase",7,38,"Fis-24779",3891
"prionotus scitulus","prionotus","benthic","fishbase",5,24,"Fis-30876",4027
"prionotus tribulus","prionotus","benthic","fishbase",28,93,"Fis-30879",4030
"myoxocephalus quadricornis","myoxocephalus","benthic","fishbase",10,50,"Fis-24809",4122
"ancylopsetta ommata","ancylopsetta","benthic",NA,15,56,"Fis-149852",4206
"etropus crossotus","etropus","benthic","fishbase",0,30,"Fis-30810",4221
"chaetodon punctatofasciatus","chaetodon","reef","fishbase",5,24,"Fis-31440",5571
"symphurus nebulosus","symphurus","benthic","fishbase",400,600,"Fis-25012",4265
"chaetodon lineolatus","chaetodon","reef","fishbase",20,83,"Fis-31434",5564
"barbourisia rufa","barbourisia","benthic","fishbase",373,906,"Fis-30920",4318
"istigobius rigilius","istigobius","reef","fishbase",3,16,"Fis-25058",4324
"stegastes gascoynei","stegastes","reef",NA,4,16,"Fis-25073",4348
"stegastes limbatus","stegastes","reef","fishbase",0,1,"Fis-25074",4350
"pseudamia gelatinosa","pseudamia","reef","fishbase",1,40,"Fis-30933",4362
"ptereleotris grammica","ptereleotris","reef","fishbase",30,50,"Fis-30940",4376
"cirripectes vanderbilti","cirripectes","reef","fishbase",2,6,"Fis-25103",4403
"halimuraena shakai","halimuraena","reef","fishbase",12,15,"Fis-30968",4425
"siganus spinus","siganus","reef","fishbase",1,20,"Fis-25128",4457
"hexatrygon bickelli","hexatrygon","benthic","fishbase",362,1120,"Fis-30995",4510
"eurypharynx pelecanoides","eurypharynx","pelagic","fishbase",1200,1400,"Fis-31004",4526
"argyrops filamentosus","argyrops","reef","fishbase",6,22,"Fis-25174",4541
"raja brachyura","raja","benthic","fishbase",52,180,"Fis-31017",4552
"nemipterus nematophorus","nemipterus","benthic","fishbase",8,38,"Fis-25181",4558
"siganus luridus","siganus","reef","fishbase",5,22,"Fis-25216",4613
"labroides dimidiatus","labroides","reef","fishbase",1,30,"Fis-25637",5459
"amphiprion melanopus","amphiprion","reef","fishbase",2,10,"Fis-31052",4654
"centropyge bicolor","centropyge","reef","fishbase",3,14,"Fis-25632",5454
"fistularia commersonii","fistularia","reef","fishbase",14,64,"Fis-31390",5444
"ostorhinchus nigrofasciatus","ostorhinchus","reef","fishbase",7,27,"Fis-167077",4836
"labrichthys unilineatus","labrichthys","reef","fishbase",2,11,"Fis-25464",5109
"labropsis micronesica","labropsis","reef","fishbase",9,21,"Fis-31128",4867
"labropsis australis","labropsis","reef","fishbase",7,29,"Fis-31129",4868
"anampses meleagrides","anampses","reef","fishbase",5,50,"Fis-31133",4889
"anampses geographicus","anampses","reef","fishbase",3,14,"Fis-31135",4891
"sargocentron violaceum","sargocentron","reef","fishbase",1,15,"Fis-25377",4909
"pterois antennata","pterois","reef","fishbase",10,44,"Fis-25380",4914
"scorpaenodes parvipinnis","scorpaenodes","reef","fishbase",7,27,"Fis-25381",4915
"anampses elegans","anampses","reef","fishbase",5,19,"Fis-31146",4918
"scorpaenopsis diabolus","scorpaenopsis","reef","fishbase",8,36,"Fis-31149",4921
"epinephelus merra","epinephelus","reef","fishbase",5,20,"Fis-31150",4923
"gephyroberyx darwinii","gephyroberyx","benthopelagic","fishbase",200,500,"Fis-25403",4962
"scarus dimidiatus","scarus","reef","fishbase",3,14,"Fis-21826",4973
"scarus spinus","scarus","reef","fishbase",2,15,"Fis-25405",4974
"chromis atripes","chromis","reef",NA,10,25,"Fis-31172",4982
"macropharyngodon negrosensis","macropharyngodon","reef","fishbase",8,32,"Fis-21770",4985
"malacocephalus laevis","malacocephalus","benthic","fishbase",300,750,"Fis-25410",4989
"dascyllus aruanus","dascyllus","reef","fishbase",2,11,"Fis-25465",5110
"dascyllus trimaculatus","dascyllus","reef","fishbase",6,29,"Fis-25466",5112
"engyprosopon macrolepis","engyprosopon","benthic","fishbase",12,47,"Fis-25567",5344
"epinephelus cyanopodus","epinephelus","reef","fishbase",17,74,"Fis-25571",5349
"echidna nebulosa","echidna","reef","fishbase",5,10,"Fis-25596",5388
"echidna polyzona","echidna","reef","fishbase",4,12,"Fis-25597",5389
"gymnothorax flavimarginatus","gymnothorax","reef","fishbase",17,73,"Fis-25598",5392
"gymnothorax zonipectis","gymnothorax","reef","fishbase",20,40,"Fis-31372",5397
"uropterygius marmoratus","uropterygius","reef","fishbase",3,11,"Fis-25605",5401
"myripristis murdjan","myripristis","reef","fishbase",6,26,"Fis-25612",5408
"chromis atripectoralis","chromis","reef","fishbase",3,16,"Fis-31392",5450
"antennarius striatus","antennarius","reef","fishbase",33,40,"Fis-25646",5474
"epinephelus chlorostigma","epinephelus","reef","fishbase",37,142,"Fis-25679",5524
"bolbometopon muricatum","bolbometopon","reef","fishbase",5,21,"Fis-25689",5537
"scarus niger","scarus","reef","fishbase",2,11,"Fis-31422",5550
"siganus sutor","siganus","reef","fishbase",1,12,"Fis-25218",4615
"chaetodon tinkeri","chaetodon","reef","fishbase",43,101,"Fis-31446",5577
"chaetodon vagabundus","chaetodon","reef","fishbase",7,18,"Fis-31451",5582
"oxycheilinus arenatus","oxycheilinus","reef","fishbase",30,43,"Fis-47531",5595
"iniistius aneitensis","iniistius","reef","fishbase",20,52,"Fis-146180",5611
"planiliza melinopterus","planiliza","benthic",NA,0,3,"Fis-172580",5655
"paracentropyge multifasciata","paracentropyge","reef","fishbase",20,70,"Fis-152142",5666
"chromis alpha","chromis","reef","fishbase",20,54,"Fis-31484",5670
"chromis amboinensis","chromis","reef",NA,11,38,"Fis-25753",5671
"chromis lepidolepis","chromis","reef",NA,6,23,"Fis-31487",5674
"chromis viridis","chromis","reef","fishbase",3,11,"Fis-25756",5679
"lepidozygus tapeinosoma","lepidozygus","reef","fishbase",4,16,"Fis-25759",5683
"chrysiptera biocellata","chrysiptera","reef","fishbase",0,3,"Fis-25768",5693
"chrysiptera traceyi","chrysiptera","reef","fishbase",8,23,"Fis-25776",5701
"plectroglyphidodon leucozonus","plectroglyphidodon","reef","fishbase",0,4,"Fis-57933",5713
"pomacentrus philippinus","pomacentrus","reef","fishbase",2,7,"Fis-31503",5727
"pomachromis guamensis","pomachromis","reef","fishbase",6,19,"Fis-31507",5732
"apogonichthys ocellatus","apogonichthys","reef","fishbase",1,3,"Fis-25794",5740
"apogonichthys perdix","apogonichthys","reef","fishbase",1,4,"Fis-31511",5741
"fowleria punctulata","fowleria","reef","fishbase",44,61,"Fis-25796",5743
"fowleria marmorata","fowleria","reef","fishbase",3,19,"Fis-25797",5744
"nectamia bandanensis","nectamia","reef","fishbase",1,12,"Fis-161348",5763
"ostorhinchus taeniophorus","ostorhinchus","reef","fishbase",1,8,"Fis-165242",5767
"zoramia gilberti","zoramia","reef","fishbase",3,7,"Fis-159568",5772
"cheilodipterus macrodon","cheilodipterus","reef","fishbase",4,30,"Fis-25811",5781
"gymnapogon urospilotus","gymnapogon","reef","fishbase",2,10,"Fis-31537",5787
"kyphosus cinerascens","kyphosus","reef","fishbase",5,24,"Fis-25822",5805
"scorpaenodes kelloggi","scorpaenodes","reef","fishbase",8,16,"Fis-25832",5816
"scorpaenodes varipinnis","scorpaenodes","reef","fishbase",22,95,"Fis-31549",5818
"scorpaenodes guamensis","scorpaenodes","reef","fishbase",0,5,"Fis-25834",5819
"scorpaenopsis macrochir","scorpaenopsis","reef","fishbase",9,41,"Fis-31550",5820
"sufflamen chrysopterum","sufflamen","reef","fishbase",4,16,"Fis-148338",5842
"scolopsis frenata","scolopsis","reef","fishbase",6,13,"Fis-166133",5887
"choeroichthys brachysoma","choeroichthys","reef","fishbase",4,14,"Fis-25911",5958
"corythoichthys intestinalis","corythoichthys","reef","fishbase",24,68,"Fis-25914",5961
"corythoichthys nigripectus","corythoichthys","reef","fishbase",7,18,"Fis-31610",5962
"cosmocampus banneri","cosmocampus","reef","fishbase",4,17,"Fis-25915",5966
"doryrhamphus negrosensis","doryrhamphus","reef","fishbase",3,11,"Fis-150344",5971
"dunckerocampus dactyliophorus","dunckerocampus","reef","fishbase",10,31,"Fis-53099",5972
"micrognathus andersonii","micrognathus","reef","fishbase",1,6,"Fis-25923",5977
"minyichthys myersi","minyichthys","reef","fishbase",9,21,"Fis-25924",5978
"parupeneus barberinoides","parupeneus","reef","fishbase",11,50,"Fis-25932",5986
"parupeneus barberinus","parupeneus","reef","fishbase",11,50,"Fis-25933",5987
"parupeneus trifasciatus","parupeneus","reef","fishbase",9,41,"Fis-9674",5988
"parupeneus cyclostomus","parupeneus","reef","fishbase",15,62,"Fis-25936",5990
"halicampus brocki","halicampus","reef","fishbase",7,25,"Fis-25951",6009
"naso tuberosus","naso","reef","fishbase",5,26,"Fis-31624",6023
"balistapus undulatus","balistapus","reef","fishbase",6,27,"Fis-25961",6025
"pseudobalistes flavimarginatus","pseudobalistes","reef","fishbase",6,27,"Fis-25963",6027
"alticus saliens","alticus","benthic","fishbase",0,1,"Fis-130767",6031
"coregonus sardinella","coregonus","pelagic","fishbase",5,26,"Fis-29858",2678
"aspidontus taeniatus","aspidontus","reef","fishbase",3,14,"Fis-57962",6066
"meiacanthus atrodorsalis","meiacanthus","reef","fishbase",4,16,"Fis-25992",6067
"plagiotremus laudandus","plagiotremus","reef","fishbase",4,16,"Fis-25994",6070
"plectorhinchus picus","plectorhinchus","reef","fishbase",7,27,"Fis-26077",6370
"gymnothorax pictus","gymnothorax","reef","fishbase",15,52,"Fis-13931",6395
"arothron nigropunctatus","arothron","reef","fishbase",5,15,"Fis-26097",6400
"cephalopholis leopardus","cephalopholis","reef","fishbase",3,20,"Fis-26121",6448
"cephalopholis sexmaculata","cephalopholis","reef","fishbase",21,76,"Fis-26125",6453
"epinephelus polyphekadion","epinephelus","reef","fishbase",5,24,"Fis-26142",6473
"echidna unicolor","echidna","reef","fishbase",7,16,"Fis-31850",6487
"gymnothorax fimbriatus","gymnothorax","reef","fishbase",11,29,"Fis-26155",6495
"pomacanthus imperator","pomacanthus","reef","fishbase",11,50,"Fis-26162",6504
"canthigaster bennetti","canthigaster","reef","fishbase",2,9,"Fis-26177",6541
"chromis analis","chromis","reef","fishbase",24,75,"Fis-26183",6551
"ostracion cubicus","ostracion","reef",NA,1,50,"Fis-31876",6555
"paraluteres prionurus","paraluteres","reef","fishbase",3,14,"Fis-26187",6560
"pygoplites diacanthus","pygoplites","reef","fishbase",8,40,"Fis-26195",6572
"gymnothorax richardsonii","gymnothorax","reef","fishbase",2,9,"Fis-134356",6579
"choerodon jordani","choerodon","reef","fishbase",20,30,"Fis-26212",6597
"coris dorsomacula","coris","reef","fishbase",5,22,"Fis-31913",6657
"epinephelus macrospilos","epinephelus","reef","fishbase",7,24,"Fis-26245",6661
"rouleina attrita","rouleina","pelagic","fishbase",699,1224,"Fis-26352",6964
"pagetopsis maculatus","pagetopsis","benthic","genus gapfill",272,468,"Fis-32198",7115
"amblyeleotris steinitzi","amblyeleotris","reef","fishbase",6,23,"Fis-26420",7195
"asterropteryx semipunctata","asterropteryx","reef","fishbase",3,11,"Fis-150578",7200
"discordipinna griessingeri","discordipinna","reef","fishbase",2,15,"Fis-32247",7212
"paragobiodon echinocephalus","paragobiodon","reef","fishbase",4,24,"Fis-26435",7219
"priolepis cincta","priolepis","reef","fishbase",1,30,"Fis-57976",7221
"cryptocentrus octofasciatus","cryptocentrus","benthic","fishbase",0,2,"Fis-32252",7235
"ctenogobiops feroculus","ctenogobiops","reef","fishbase",1,5,"Fis-32253",7238
"vanderhorstia ambanoro","vanderhorstia","reef","fishbase",4,16,"Fis-26453",7241
"bryaninops ridens","bryaninops","reef","fishbase",8,19,"Fis-32257",7250
"bryaninops yongei","bryaninops","reef","fishbase",7,25,"Fis-119716",7251
"eviota fasciola","eviota","reef","fishbase",2,9,"Fis-32264",7262
"eviota melasma","eviota","reef","fishbase",4,23,"Fis-32268",7267
"eviota prasites","eviota","reef","fishbase",4,16,"Fis-32271",7271
"scolecenchelys macroptera","scolecenchelys","reef","fishbase",3,17,"Fis-146627",7289
"antennarius commerson","antennarius","reef","fishbase",7,20,"Fis-163998",7293
"antennarius randalli","antennarius","reef","fishbase",10,20,"Fis-32292",7295
"dinematichthys iluocoeteoides","dinematichthys","reef","fishbase",4,16,"Fis-32295",7300
"stenatherina panatela","stenatherina","reef","fishbase",3,11,"Fis-26473",7303
"myripristis violacea","myripristis","reef","fishbase",5,17,"Fis-32301",7309
"sargocentron tiereoides","sargocentron","reef","fishbase",0,15,"Fis-26476",7311
"scorpaenodes scaber","scorpaenodes","reef","fishbase",5,17,"Fis-26479",7314
"epinephelus flavocaeruleus","epinephelus","reef","fishbase",25,78,"Fis-26503",7345
"epinephelus howlandi","epinephelus","reef","fishbase",4,20,"Fis-26504",7348
"epinephelus longispinis","epinephelus","reef","fishbase",8,36,"Fis-26507",7352
"epinephelus radiatus","epinephelus","benthic","fishbase",60,186,"Fis-26511",7360
"plectropomus punctatus","plectropomus","reef","fishbase",9,10,"Fis-32321",7373
"argyropelecus sladeni","argyropelecus","pelagic","fishbase",412,1193,"Fis-32332",7392
"protomyctophum beckeri","protomyctophum","pelagic","fishbase",286,873,"Fis-32348",7418
"plectropomus pessuliferus","plectropomus","reef","fishbase",38,85,"Fis-32352",7430
"bathypterois atricolor","bathypterois","benthic","fishbase",975,2188,"Fis-32360",7442
"chilorhinus platyrhynchus","chilorhinus","benthic","fishbase",28,99,"Fis-26544",7446
"scuticaria tigrina","scuticaria","reef","fishbase",9,17,"Fis-13941",7450
"phyllophichthus xenodontus","phyllophichthus","reef","fishbase",10,20,"Fis-32374",7470
"callechelys lutea","callechelys","benthic","fishbase",6,15,"Fis-131212",7472
"nettastoma solitarium","nettastoma","benthopelagic","fishbase",436,508,"Fis-32387",7492
"ecsenius midas","ecsenius","reef","fishbase",5,22,"Fis-9972",7561
"ecsenius lineatus","ecsenius","reef","fishbase",3,15,"Fis-32418",7567
"cirrhilabrus rubrimarginatus","cirrhilabrus","reef","fishbase",27,39,"Fis-32431",7586
"ariosoma mauritianum","ariosoma","benthic","fishbase",411,560,"Fis-26633",7671
"cynoglossus lachneri","cynoglossus","benthic","fishbase",0,1,"Fis-32491",7682
"symphurus ocellatus","symphurus","benthic","fishbase",453,530,"Fis-32494",7687
"thyrsitoides marleyi","thyrsitoides","benthopelagic","fishbase",46,183,"Fis-32497",7698
"hyporhamphus affinis","hyporhamphus","reef","fishbase",0,4,"Fis-26655",7710
"kuhlia rupestris","kuhlia","reef","fishbase",0,3,"Fis-26659",7715
"bodianus leucosticticus","bodianus","reef","fishbase",52,63,"Fis-26660",7716
"microphis millepunctatus","microphis","benthic","fishbase",2,11,"Fis-19204",7720
"bodianus perditio","bodianus","reef","fishbase",21,64,"Fis-26672",7734
"sebastapistes ballieui","sebastapistes","reef","fishbase",2,7,"Fis-26693",7779
"pterois sphex","pterois","reef","fishbase",15,61,"Fis-32525",7782
"chaetodon madagaskariensis","chaetodon","reef","fishbase",21,64,"Fis-32531",7793
"chaetodon xanthocephalus","chaetodon","reef","fishbase",4,16,"Fis-32532",7794
"synchiropus stellatus","synchiropus","reef","fishbase",10,20,"Fis-32537",7802
"plectroglyphidodon sindonis","plectroglyphidodon","reef","fishbase",0,2,"Fis-26705",7815
"myripristis seychellensis","myripristis","benthic","fishbase",4,12,"Fis-32552",7823
"coris venusta","coris","reef","fishbase",3,7,"Fis-32554",7826
"plagiotremus goslinei","plagiotremus","reef","fishbase",2,9,"Fis-26714",7834
"thamnaconus fajardoi","thamnaconus","benthic","fishbase",132,141,"Fis-32562",7852
"thamnaconus modestoides","thamnaconus","reef","fishbase",86,135,"Fis-26726",7855
"osteomugil robustus","osteomugil","pelagic","fishbase",5,26,"Fis-172584",7864
"scarus caudofasciatus","scarus","reef","fishbase",11,25,"Fis-26761",7908
"sphyraena qenie","sphyraena","reef","fishbase",11,50,"Fis-32590",7939
"uranoscopus archionema","uranoscopus","benthopelagic","fishbase",86,173,"Fis-32595",7951
"plesiops coeruleolineatus","plesiops","reef","fishbase",3,23,"Fis-32626",8005
"chaetodon blackburnii","chaetodon","reef","fishbase",3,16,"Fis-32634",8015
"abudefduf sparoides","abudefduf","reef","fishbase",0,4,"Fis-26803",8018
"halichoeres lapillus","halichoeres","reef","fishbase",6,11,"Fis-32637",8021
"eleotris fusca","eleotris","benthic","fishbase",0,3,"Fis-26815",8034
"omobranchus fasciolatus","omobranchus","benthic","fishbase",1,6,"Fis-26819",8038
"aspidontus tractus","aspidontus","reef",NA,3,16,"Fis-10516",8040
"antennablennius bifilum","antennablennius","benthic","fishbase",20,28,"Fis-26821",8041
"gymnothorax griseus","gymnothorax","reef","fishbase",5,21,"Fis-143429",8058
"parapristipoma octolineatum","parapristipoma","benthic","fishbase",7,31,"Fis-26852",8092
"hypoatherina ovalaua","hypoatherina","reef","fishbase",0,3,"Fis-26860",8120
"ariomma luridum","ariomma","benthic",NA,875,1819,"Fis-164094",8233
"coelorinchus acanthiger","coelorinchus","benthic","fishbase",885,1110,"Fis-11367",8436
"rexichthys johnpaxtoni","rexichthys","benthopelagic","fishbase",292,365,"Fis-32858",8493
"helcogramma fuscopinna","helcogramma","reef","fishbase",1,6,"Fis-32870",8508
"helcogramma rhinoceros","helcogramma","benthic","fishbase",0,4,"Fis-32871",8510
"samariscus triocellatus","samariscus","reef","fishbase",5,17,"Fis-32902",8568
"fowleria vaiulae","fowleria","reef","fishbase",3,15,"Fis-128236",8592
"acanthurus xanthopterus","acanthurus","reef","fishbase",5,90,"Fis-29584",1261
"centropyge colini","centropyge","reef","fishbase",28,60,"Fis-32986",8773
"bathysolea profundicola","bathysolea","pelagic","fishbase",200,600,"Fis-27195",8840
"poecilopsetta natalensis","poecilopsetta","benthic","fishbase",272,345,"Fis-33065",8905
"chaetodon dolosus","chaetodon","reef","fishbase",57,117,"Fis-33074",8916
"chaetodon mitratus","chaetodon","reef","fishbase",50,68,"Fis-33082",8927
"lamprogrammus brunswigi","lamprogrammus","benthopelagic","fishbase",899,1152,"Fis-27226",8945
"gigantura chuni","gigantura","pelagic","fishbase",1423,2221,"Fis-33241",9183
"belone svetovidovi","belone","pelagic","fishbase",1,6,"Fis-33244",9195
"encheliophis gracilis","encheliophis","reef","fishbase",6,32,"Fis-27333",9204
"centropyge acanthops","centropyge","reef","fishbase",9,24,"Fis-27342",9222
"kraemeria samoensis","kraemeria","reef","fishbase",0,3,"Fis-33735",9966
"pseudechidna brummeri","pseudechidna","reef","fishbase",2,5,"Fis-27717",10216
"ostorhinchus apogonoides","ostorhinchus","reef","fishbase",10,34,"Fis-165311",10294
"hoplichthys regani","hoplichthys","benthic","fishbase",749,1726,"Fis-34036",10578
"arnoglossus debilis","arnoglossus","benthic","fishbase",182,285,"Fis-27848",10585
"apolemichthys xanthurus","apolemichthys","reef","fishbase",7,16,"Fis-28015",10943
"parupeneus forsskali","parupeneus","reef","fishbase",5,24,"Fis-28023",10994
"centropyge shepardi","centropyge","reef","fishbase",6,29,"Fis-34340",11111
"genicanthus caudovittatus","genicanthus","reef","fishbase",9,36,"Fis-28065",11132
"antennatus analis","antennatus","benthic",NA,4,12,"Fis-166689",11144
"sagamichthys schnakenbecki","sagamichthys","pelagic","fishbase",469,731,"Fis-28120",11461
"argyropelecus lychnus","argyropelecus","pelagic","fishbase",259,426,"Fis-34692",11549
"chauliodus minimus","chauliodus","pelagic","fishbase",23,100,"Fis-34786",11714
"melanostomias paucilaternatus","melanostomias","pelagic","fishbase",187,475,"Fis-34832",11781
"thysanactis dentex","thysanactis","pelagic","fishbase",213,493,"Fis-34842",11798
"amphiprion allardi","amphiprion","reef","fishbase",4,16,"Fis-34859",11836
"azurina hirundo","azurina","reef","fishbase",7,18,"Fis-34870",11849
"chromis axillaris","chromis","benthic","fishbase",62,71,"Fis-28228",11854
"pentaceros wheeleri","pentaceros","benthopelagic","fishbase",400,600,"Fis-17275",12364
"chromis flavomaculata","chromis","reef","fishbase",9,24,"Fis-35157",12418
"chromis nigrura","chromis","reef",NA,4,16,"Fis-35163",12424
"stegastes leucorus","stegastes","reef","fishbase",2,9,"Fis-150883",12514
"chaetodon trichrous","chaetodon","reef","fishbase",2,13,"Fis-35236",12537
"neobythites purus","neobythites","benthopelagic","fishbase",237,412,"Fis-35245",12551
"carcharhinus melanopterus","carcharhinus","reef","fishbase",25,48,"Fis-23063",877
"aetobatus ocellatus","aetobatus","benthopelagic","fishbase",20,25,"Fis-28563",12600
"heteroconger hassi","heteroconger","reef","fishbase",9,28,"Fis-28569",12619
"siphamia mossambica","siphamia","reef","fishbase",7,16,"Fis-35284",12628
"synchiropus morrisoni","synchiropus","reef","fishbase",25,33,"Fis-35295",12643
"cheilodactylus ephippium","cheilodactylus","benthic",NA,28,118,"Fis-35301",12657
