"species","total_hab_area"
"acetabularia calyculus",2607500
"acetabularia crenulata",814600
"acetabularia major",2436100
"acetes americanus",1596900
"acetes chinensis",831700
"acetes erythraeus",4597400
"acetes japonicus",6835000
"achaeus curvirostris",3987700
"achaeus lacertosus",3009400
"achelia alaskensis",1309400
"achelia assimilis",16850200
"achelia borealis",10969300
"achelia communis",1254600
"achelia dohrni",170800
"achelia echinata",1096000
"achelia hoekii",448500
"achelia laevis",227200
"achelia latifrons",720700
"achelia nana",2553000
"achelia pribilofensis",349900
"achelia sawayai",5046800
"achelia scabra",162800
"achelia serratipalpis",850100
"achelia spinosa",1829200
"achelous binoculus",1572600
"achelous ordwayi",2978400
"achiropsetta tricholepis",2514400
"achirus achirus",763000
"achirus declivis",1231400
"achirus klunzingeri",164700
"achirus lineatus",1484000
"achirus mazatlanus",290200
"achirus scutum",170400
"achoerodus gouldii",237600
"achoerodus viridis",28200
"acila castrensis",839500
"acipenser brevirostrum",204900
"acipenser medirostris",232200
"acipenser naccarii",67000
"acipenser oxyrinchus",508100
"acipenser stellatus",123800
"acipenser sturio",1058900
"acipenser transmontanus",140700
"acirsa borealis",762100
"aclis hendersoni",318500
"acmaea mitra",1207400
"acorylus gouldii",1793600
"acreichthys hajam",3897400
"acreichthys radiatus",2838800
"acreichthys tomentosus",3770900
"acrobrochus blochmanni",5128100
"acrocalanus gibber",8873700
"acrocalanus longicornis",4165700
"acrochordus granulatus",5187000
"acrocnida brachiata",485400
"acromycter nezumi",717400
"acropoma hanedai",1055800
"acropoma japonicum",8510100
"acropora abrolhosensis",3004100
"acropora abrotanoides",4497300
"acropora aculeus",4938700
"acropora acuminata",3442300
"acropora akajimensis",1485300
"acropora anthocercis",3973200
"acropora appressa",334600
"acropora arabensis",853900
"acropora aspera",5091400
"acropora austera",4918200
"acropora batunai",2626600
"acropora bifurcata",3740800
"acropora branchi",399200
"acropora bushyensis",646500
"acropora carduus",4375700
"acropora caroliniana",3233200
"acropora cerealis",4370600
"acropora cervicornis",718300
"acropora chesterfieldensis",801000
"acropora clathrata",4190100
"acropora cophodactyla",2550700
"acropora cytherea",4686400
"acropora danai",4806500
"acropora dendrum",3855500
"acropora derawanensis",2023300
"acropora desalwii",1472800
"acropora digitifera",4599700
"acropora divaricata",4453600
"acropora donei",3527200
"acropora downingi",448700
"acropora echinata",3991200
"acropora elegans",1788700
"acropora elseyi",3610900
"acropora exquisita",2971200
"acropora florida",4741100
"acropora formosa",4789200
"acropora gemmifera",4875300
"acropora glauca",5099800
"acropora globiceps",2363900
"acropora grandis",4450900
"acropora granulosa",4356600
"acropora halmaherae",1345100
"acropora hemprichii",571700
"acropora hoeksemai",1744700
"acropora horrida",4681200
"acropora humilis",4465500
"acropora hyacinthus",4562700
"acropora inermis",4674500
"acropora insignis",3846700
"acropora intermedia",4382200
"acropora irregularis",3428900
"acropora jacquelinae",1747800
"acropora kimbeensis",3065900
"acropora kirstyae",2972100
"acropora latistella",5115600
"acropora listeri",3574100
"acropora longicyathus",4385900
"acropora loripes",3818100
"acropora lovelli",1452300
"acropora lutkeni",4165600
"acropora microclados",4306200
"acropora microphthalma",4558000
"acropora millepora",3611900
"acropora mirabilis",4387900
"acropora monticulosa",4144400
"acropora mossambica",850200
"acropora multiacuta",3646500
"acropora muricata",4513600
"acropora nana",3828400
"acropora nasuta",4770800
"acropora natalensis",389300
"acropora nobilis",4642000
"acropora ocellata",1558200
"acropora palmata",780700
"acropora palmerae",4044800
"acropora paniculata",3057100
"acropora papillare",2232000
"acropora parilis",3985600
"acropora pharaonis",1114100
"acropora pichoni",3976200
"acropora plana",1359500
"acropora plantaginea",631200
"acropora plumosa",2367400
"acropora polystoma",3838900
"acropora prolifera",734100
"acropora prostrata",3763100
"acropora pulchra",4433500
"acropora rambleri",3676200
"acropora retusa",3364000
"acropora robusta",4515400
"acropora rosaria",4401700
"acropora roseni",173200
"acropora russelli",2066100
"acropora samoensis",4826400
"acropora sarmentosa",3658200
"acropora secale",4325800
"acropora sekiseiensis",1523100
"acropora selago",4227000
"acropora simplex",2370700
"acropora solitaryensis",3850100
"acropora spathulata",1194000
"acropora speciosa",3146300
"acropora spicifera",4465800
"acropora squarrosa",812600
"acropora striata",3421600
"acropora subglabra",3775100
"acropora subulata",3984600
"acropora tenella",4195600
"acropora tenuis",4687100
"acropora teres",3692500
"acropora tortuosa",1344700
"acropora turaki",3003400
"acropora valenciennesi",4709100
"acropora valida",6013300
"acropora variabilis",898100
"acropora variolosa",411900
"acropora vaughani",4065800
"acropora vermiculata",2989300
"acropora verweyi",5380000
"acropora willisae",3465500
"acropora yongei",3814300
"acrosterigma cygnorum",417200
"acrosterigma dianthinum",3514400
"acrosterigma impolitum",3071900
"acrosterigma maculosum",4571300
"acrosterigma magnum",1378000
"acrosterigma profundum",758400
"acrosterigma punctolineatum",5005000
"acrosterigma simplex",4592100
"acrosterigma transcendens",3013500
"acryptolaria abies",3253000
"acryptolaria conferta",12761400
"acryptolaria longitheca",5874200
"acryptolaria operculata",799400
"actaea acantha",1058800
"actaea polyacantha",4632200
"actaea savignii",1067000
"actaeodes consobrinus",4421200
"actaeodes hirsutissimus",5842000
"actaeodes tomentosus",5563400
"actaeomorpha erosa",2683500
"acteocina atrata",840100
"acteocina bidentata",2645800
"acteocina bullata",1509900
"acteocina canaliculata",1803500
"acteocina candei",2343600
"acteocina culcitella",747500
"acteocina infrequens",221600
"acteocina lepta",4393400
"acteocina recta",818400
"acteon candens",1436800
"acteon delicatus",2099500
"acteon melampoides",4986900
"acteon pelecais",175800
"actinauge abyssorum",498000
"actinauge cristata",625000
"actinauge richardi",1876300
"actinauge verrilli",4478700
"actinia cari",530600
"actinia equina",3116400
"actinia tenebrosa",477700
"actinodendron plumosum",1440200
"actinopyga agassizi",1023600
"actinopyga caerulea",4096100
"actinopyga crassa",2817900
"actinopyga echinites",5372800
"actinopyga lecanora",4295100
"actinopyga mauritiana",4636600
"actinopyga miliaris",3983400
"actinopyga obesa",46300
"actinopyga palauensis",2294300
"actinopyga varians",1271600
"actinoscyphia plebeia",2656700
"actinostola abyssorum",3928200
"actinostola callosa",4644100
"actinostola chilensis",207300
"actinostola spetsbergensis",1310600
"actinothoe sphyrodeta",488800
"actinotrichia fragilis",3482200
"actumnus asper",386300
"actumnus setifer",1322100
"aculeola nigra",265600
"acutiserolis cidaris",2118400
"acutiserolis neaera",18000
"acutiserolis spinosa",1261700
"acyrtops beryllinus",966000
"acyrtus lanthanum",1013100
"acyrtus rubiginosus",681300
"adacnarca nitens",2607500
"adagnesia charcoti",31631000
"adagnesia rimosa",856400
"adalaria proxima",1951600
"adamnestia arachis",1089600
"adamsia palliata",1819100
"adamussium colbecki",729900
"adelieledone polymorpha",285900
"adelogorgia phyllosclera",477900
"adelomelon ancilla",1430300
"adelomelon beckii",366000
"adelopora crassilabrum",2751300
"adelopora fragilis",2318700
"adelosebastes latens",659600
"adenocystis utricularis",555600
"adipicola arcuatilis",2024200
"admete magellanica",956500
"admete viridula",4933500
"adrana patagonica",209800
"adula californiensis",444900
"adula diegensis",539500
"adventor elongatus",1813200
"aega antarctica",4012100
"aega antillensis",1869100
"aega deshaysiana",14042700
"aega ecarinata",1836000
"aega falklandica",261500
"aega gracilipes",485900
"aega magnifica",1072300
"aega psora",4027800
"aega semicarinata",378000
"aegaeon lacazei",16891200
"aegaeon rathbuni",6288600
"aegina citrea",27819700
"aeginella spinosa",3025500
"aeginina longicornis",3047300
"aeginoides gaussi",1824200
"aeginura grimaldii",18607600
"aegiochus antarctica",785300
"aegires exeches",4100600
"aegisthus mucronatus",66539600
"aeneator fontainei",35100
"aeneator recens",588500
"aeolidia papillosa",4999700
"aeoliscus punctulatus",942600
"aeoliscus strigatus",4984600
"aepinus septemspinosus",1030000
"aequipecten commutatus",1229300
"aequipecten glyptus",2085400
"aequipecten muscosus",1392200
"aequipecten opercularis",1126200
"aequipecten tehuelchus",659700
"aequorea aequorea",1986300
"aequorea macrodactyla",5281700
"aeropsis fulva",6157300
"aesopia cornuta",6151600
"aesopus clausiliformis",2353400
"aesopus stearnsii",1107700
"aestuariolus noctiluca",1134100
"aetapcus maculatus",395700
"aetea anguina",1470500
"aetea ligulata",366900
"aetea sica",781700
"aetea truncata",2056700
"aethaloperca rogaa",6007300
"aethotaxis mitopteryx mitopteryx",29278600
"aethra edentata",2081800
"aethra scruposa",4671800
"aetideopsis multiserrata",1307100
"aetideus acutus",2227500
"aetideus armatus",4294600
"aetideus giesbrechti",4028500
"aetobatus flagellum",10443400
"aetobatus narinari",16363700
"aetobatus ocellatus",11974100
"aetomylaeus bovinus",1497600
"aetomylaeus caeruleofasciatus",2870500
"aetomylaeus maculatus",4108100
"aetomylaeus milvus",9112900
"aetomylaeus nichofii",5433500
"aetomylaeus vespertilio",9679000
"aforia goniodes",784200
"aforia magnifica",549600
"aforia multispiralis",478400
"afrocardium exochum",3573700
"afrocardium richardi",4892900
"agalma elegans",13616400
"agalma okeni",13864500
"agaricia agaricites",2408000
"agaricia fragilis",1238700
"agaricia grahamae",569600
"agaricia humilis",797200
"agaricia lamarcki",508400
"agaricia tenuifolia",1613100
"agaricia undata",775400
"agaronia travassosi",33600
"agassizia excentrica",2378600
"agassizia scrobiculata",297800
"agathotanais ingolfi",1082900
"agathotoma candidissima",1346400
"agatrix agassizii",1384600
"agelas ceylonica",3593700
"agelas clathrodes",1771900
"agelas conifera",816200
"agelas dispar",1049600
"agelas mauritiana",3711600
"aglantha digitale",12545700
"aglaophenia cupressina",2705000
"aglaophenia dubia",2408300
"aglaophenia latecarinata",3935000
"aglaophenia lophocarpa",7855600
"aglaophenia rhynchocarpa",3361100
"aglaophenia struthionides",909000
"aglaophenia trifida",1391900
"aglaothamnion halliae",92700
"aglaura hemistoma",17104900
"aglauropsis aeora",431200
"agnesiopsis translucida",1170100
"agnezia arnaudi",571600
"agnezia biscoei",624900
"agnezia glaciata",4145200
"agonomalus jordani",89600
"agonomalus mozinoi",117700
"agonomalus proboscidalis",595300
"agononida analoga",1485900
"agononida eminens",3193300
"agononida incerta",9054900
"agononida longipes",2390900
"agononida longispinata",803200
"agononida marini",2254300
"agononida nielbrucei",389300
"agononida normani",3319800
"agononida procera",5177200
"agononida schroederi",1519200
"agononida squamosa",9076000
"agononida variabilis",1395400
"agonopsis chiloensis",1235700
"agonopsis sterletus",78900
"agonopsis vulsa",539800
"agonostomus monticola",1172100
"agonus cataphractus",1264100
"agrostichthys parkeri",33061000
"ahlia egmontis",1394200
"ahliesaurus berryi",207479500
"ahliesaurus brevis",21998500
"aidablennius sphynx",395000
"aidanosagitta neglecta",12363700
"aidanosagitta oceania",3100100
"aidanosagitta regularis",9277800
"ainigmaptilon antarcticum",498600
"ainigmaptilon virgularoides",655800
"aioliops novaeguineae",1239400
"aiolochroia crassa",1154300
"aiptasia diaphana",468500
"aiptasia mutabilis",842300
"aipysurus duboisii",4488200
"aipysurus eydouxii",4677100
"aipysurus laevis",4316300
"aka siphona",546000
"akarotaxis nudiceps",871600
"akera bullata",336000
"akera soluta",2395200
"alaba incerta",1348500
"alabes dorsalis",382200
"alabes hoesei",407500
"alabes occidentalis",204300
"alabes parvula",433800
"alainodaeus nuku",567000
"alainodaeus rimatara",1924700
"alatina alata",23328900
"albatrossia pectoralis",1595300
"albula argentea",4371900
"albula oligolepis",3709200
"albula vulpes",819000
"albunea bulla",530100
"albunea catherinae",742300
"albunea gibbesii",1344700
"albunea marquisiana",15600
"albunea microps",5434000
"albunea paretii",1512400
"albunea speciosa",811000
"alcichthys elongatus",320900
"alcirona krebsii",896700
"alcithoe aillaudorum",438700
"alcockianum alcockianum",7493900
"alcyonidium gelatinosum",4204300
"alcyonidium polyoum",950800
"alcyonium acaule",439000
"alcyonium coralloides",393200
"alcyonium haddoni",175500
"alcyonium palmatum",454500
"alderina tuberosa",2563100
"aldisa zetlandica",6283600
"aldrichetta forsteri",460800
"aldrovandia affinis",30376800
"aldrovandia gracilis",4075200
"aldrovandia oleosa",22993900
"aldrovandia phalacra",18621000
"alectis alexandrina",550800
"alectis ciliaris",10072400
"alectis indica",6147900
"alectrias alectrolophus",822700
"alectrias benjamini",178100
"alectryonella plicatula",5342900
"alepes apercna",2114200
"alepes djedaba",5591500
"alepes kleinii",4061600
"alepes melanoptera",3098300
"alepes vari",7591700
"alepisaurus brevirostris",119921600
"alepisaurus ferox",232002700
"alepocephalus agassizii",2096900
"alepocephalus australis",7525400
"alepocephalus bairdii",1615700
"alepocephalus bicolor",8210800
"alepocephalus longiceps",2448800
"alepocephalus longirostris",3012800
"alepocephalus productus",9457200
"alepocephalus rostratus",2109900
"alepocephalus tenebrosus",5943500
"alertichthys blacki",355700
"alexandrella dentata",448200
"alia carinata",614100
"aliaporcellana pygmaea",930200
"aliaporcellana suluensis",6992800
"alicia mirabilis",3485200
"aligena elevata",43200
"alima orientalis",3938900
"alionematichthys crassiceps",985100
"alionematichthys minyomma",424200
"alionematichthys piger",3105300
"alionematichthys plicatosurculus",1314100
"alionematichthys riukiuensis",3158900
"alionematichthys winterbottomi",99800
"alipta crenistria",425100
"allactaea lithostrota",2715100
"allantactis parasitica",4346700
"allenbatrachus grunniens",4291800
"allenbatrachus reticulatus",1270300
"alloblennius parvus",660500
"alloblennius pictus",456600
"allocareproctus jordani",841700
"allocareproctus tanix",152200
"allocareproctus unangas",433600
"allocyttus folletti",3212100
"allocyttus guineensis",13387900
"allocyttus niger",951300
"allocyttus verrucosus",59309800
"alloeocarpa incrustans",1077500
"alloeocomatella pectinifera",3608600
"allogalathea elegans",7997600
"allomycterus pilatus",783400
"allosergestes sargassi",15297800
"allosmerus elongatus",64400
"allostichaster polyplax",254800
"alloteuthis africana",612000
"alloteuthis media",866000
"alloteuthis subulata",2065700
"allothunnus fallai",76393200
"alocopocythere reticulata",450000
"alopias pelagicus",100544900
"alopias superciliosus",188393000
"alopias vulpinus",199974900
"alosa aestivalis",312100
"alosa alosa",1690200
"alosa chrysochloris",148900
"alosa fallax",2868800
"alosa immaculata",78200
"alosa mediocris",259600
"alosa pseudoharengus",759900
"alosa sapidissima",905500
"alox ornatum",4381200
"alpheopsis aequalis",6223100
"alpheopsis labis",1088700
"alpheopsis trispinosus",2535100
"alphestes afer",1097400
"alphestes immaculatus",298400
"alpheus acutocarinatus",3884500
"alpheus acutofemoratus",1849100
"alpheus alcyone",4191700
"alpheus amblyonyx",1458500
"alpheus angulosus",578100
"alpheus armatus",1031500
"alpheus armillatus",1810700
"alpheus bahamensis",751500
"alpheus bellimanus",908900
"alpheus bicostatus",2092700
"alpheus bidens",5362700
"alpheus bisincisus",6041800
"alpheus bouvieri",1427200
"alpheus brevipes",1347300
"alpheus bucephalus",5480200
"alpheus canaliculatus",4281600
"alpheus chiragricus",3492900
"alpheus clamator",107100
"alpheus clypeatus",1356500
"alpheus collumianus",5609900
"alpheus compressus",7492200
"alpheus cristulifrons",1303100
"alpheus crockeri",6386700
"alpheus cylindricus",1415600
"alpheus diadema",4392400
"alpheus djeddensis",4176000
"alpheus dolerus",2573600
"alpheus edamensis",4231800
"alpheus edwardsii",4670400
"alpheus ehlersii",1773100
"alpheus estuariensis",1180900
"alpheus eulimene",6684100
"alpheus facetus",3798200
"alpheus felgenhaueri",228500
"alpheus floridanus",2258400
"alpheus foresti",1486500
"alpheus formosus",1262300
"alpheus frontalis",7990300
"alpheus galapagensis",359700
"alpheus gracilipes",4512000
"alpheus gracilis",2959200
"alpheus hailstonei",9113500
"alpheus hebes",382700
"alpheus heterochaelis",1395600
"alpheus hippothoe",5024800
"alpheus hortensis",416500
"alpheus intrinsecus",841600
"alpheus lobidens",5397600
"alpheus longinquus",360100
"alpheus lottini",5999700
"alpheus macroskeles",3016500
"alpheus maindroni",2816400
"alpheus malleator",1822300
"alpheus malleodigitus",4694200
"alpheus nonalter",8313300
"alpheus nuttingi",931000
"alpheus obesomanus",4602400
"alpheus ovaliceps",1825800
"alpheus pachychirus",3862700
"alpheus pacificus",3794400
"alpheus packardii",1438600
"alpheus panamensis",174500
"alpheus paracrinitus",7664500
"alpheus paradentipes",11233100
"alpheus paralcyone",8740300
"alpheus parasocialis",345200
"alpheus pareuchirus",2295500
"alpheus parvirostris",5084100
"alpheus peasei",929800
"alpheus percyi",761200
"alpheus perplexus",2048000
"alpheus polyxo",5797700
"alpheus rapacida",2769900
"alpheus rapax",5360500
"alpheus roseodigitalis",885600
"alpheus rostratus",350100
"alpheus schmitti",686200
"alpheus serenei",4731900
"alpheus sizou",1590700
"alpheus socialis",808700
"alpheus splendidus",3053300
"alpheus spongiarum",4515800
"alpheus staphylinus",3211200
"alpheus strenuus",4571000
"alpheus sulcatus",5545700
"alpheus viridari",479100
"alpheus websteri",1295600
"altelatipes carinatus",10484400
"alticus kirkii",1416700
"alticus monochrus",261900
"alticus saliens",3024800
"alticus sertatus",472700
"altiverruca cristallina",6702000
"altopontonia disparostris",490300
"altosquilla soelae",188700
"aluterus heudelotii",2222300
"aluterus monoceros",5316300
"aluterus scriptus",6840100
"alvania auberiana",1403500
"alvania cancellata",1793600
"alvania colombiana",868300
"alvania dejongi",642500
"alvania faberi",757700
"alvania ogasawarana",5225700
"alvania pseudoareolata",883700
"alvania punctura",835600
"alvania scrobiculata",1065900
"alveopora allingi",1369500
"alveopora catalai",2034400
"alveopora fenestrata",1576700
"alveopora spongiosa",1418800
"alveopora tizardi",3759000
"alveopora verrilliana",2768200
"amaea mitchelli",975100
"amaea retifera",1464700
"amakusanthura magnifica",1912900
"amakusanthura signata",887300
"amalda josecarlosi",251200
"amanses scopas",4113800
"amarsipus carlsbergi",5625100
"amaryllis carrascoi",716800
"amaryllis dianae",562800
"amaryllis kamata",857000
"amaryllis keablei",407900
"amaryllis philatelica",394000
"amaryllis quokka",295400
"amathia distans",8415100
"amathia lendigera",361100
"amathia vidovici",1565100
"amathillopsis spinigera",867300
"amathina tricarinata",5059600
"amauropsis aureolutea",309600
"amauropsis islandica",1793200
"ambassis ambassis",1480500
"ambassis dussumieri",4775700
"ambassis gymnocephalus",5805200
"ambassis interrupta",4677800
"ambassis jacksoniensis",23400
"ambassis kopsii",3041700
"ambassis miops",2870000
"ambassis nalua",2634000
"ambassis natalensis",287500
"ambassis urotaenia",5160400
"ambassis vachellii",2380800
"ambidexter symmetricus",1045800
"ambiserrula jugosa",102600
"amblycirrhitus bimacula",3561500
"amblycirrhitus pinos",2241200
"amblycirrhitus unimacula",1293400
"amblyeleotris aurora",1543000
"amblyeleotris diagonalis",5067300
"amblyeleotris fasciata",2148500
"amblyeleotris fontanesii",2096700
"amblyeleotris guttata",3818900
"amblyeleotris gymnocephala",4164600
"amblyeleotris latifasciata",2528600
"amblyeleotris ogasawarensis",1946600
"amblyeleotris periophthalma",4495300
"amblyeleotris randalli",3502500
"amblyeleotris rubrimarginata",2739200
"amblyeleotris steinitzi",4079300
"amblyeleotris wheeleri",3616000
"amblyeleotris yanoi",2378500
"amblygaster clupeoides",4172600
"amblygaster leiogaster",6554500
"amblygaster sirm",6073000
"amblyglyphidodon aureus",4144600
"amblyglyphidodon batunai",2912800
"amblyglyphidodon curacao",3893700
"amblyglyphidodon flavilatus",414600
"amblyglyphidodon indicus",1489600
"amblyglyphidodon leucogaster",5077600
"amblyglyphidodon ternatensis",2114100
"amblygobius albimaculatus",4708900
"amblygobius buanensis",1350100
"amblygobius bynoensis",4327400
"amblygobius decussatus",3768700
"amblygobius linki",2519700
"amblygobius nocturnus",4643100
"amblygobius semicinctus",1154300
"amblygobius sphynx",3349800
"amblygobius stethophthalmus",2607900
"amblyotrypauchen arctocephalus",5716600
"amblypomacentrus breviceps",3180900
"amblyraja badia",4005200
"amblyraja doellojuradoi",1080400
"amblyraja georgiana",64500
"amblyraja hyperborea",13746900
"amblyraja jenseni",736900
"amblyraja radiata",6119400
"amblyraja taaf",88000
"amblyrhynchotes honckenii",8723600
"amblyrhynchus cristatus",43900
"ambophthalmos angustus",577900
"ameghinomya antiqua",346900
"ameira parvula",1857200
"ameloctopus litoralis",1757600
"americardia media",1529000
"americhelidium americanum",1644400
"americhiton andersoni",930500
"amicula vestita",1153600
"amigdoscalpellum elegans",10140600
"amigdoscalpellum vitreum",19157200
"amioides polyacanthus",9299800
"amissidens hainesi",1342300
"ammodytes americanus",382500
"ammodytes dubius",544200
