"sciname","total_hab_area"
"Alexteroon hypsiphonus",367000
"Alexteroon jynx",100
"Alexteroon obstetricans",274900
"Allobates algorei",3000
"Allobates amissibilis",200
"Allobates brunneus",1704400
"Allobates caeruleodactylus",1900
"Allobates conspicuus",3500
"Allobates crombiei",11000
"Allobates femoralis",4881600
"Allobates fratisenescus",100
"Allobates fuscellus",642500
"Allobates gasconi",95200
"Allobates goianus",4400
"Allobates granti",32800
"Allobates humilis",100
"Allobates ignotus",200
"Allobates insperatus",58900
"Allobates juanii",100
"Allobates kingsburyi",2000
"Allobates mandelorum",300
"Allobates marchesianus",3151700
"Allobates masniger",9100
"Allobates melanolaemus",27200
"Allobates myersi",7500
"Allobates niputidea",7100
"Allobates olfersioides",74200
"Allobates paleovarzensis",4800
"Allobates peruvianus",441400
"Allobates pittieri",6500
"Allobates sanmartini",200
"Allobates spumaponens",100
"Allobates subfolionidificans",100
"Allobates sumtuosus",13300
"Allobates talamancae",94600
"Allobates trilineatus",706500
"Allobates vanzolinius",93300
"Allobates wayuu",100
"Allobates zaparo",42900
"Allopaa hazarensis",11900
"Allophryne ruthveni",2761400
"Alsodes australis",48000
"Alsodes barrioi",900
"Alsodes coppingeri",200
"Alsodes gargola",2400
"Alsodes hugoi",100
"Alsodes igneus",100
"Alsodes kaweshkari",300
"Alsodes montanus",1300
"Alsodes neuquensis",300
"Alsodes nodosus",4200
"Alsodes norae",100
"Alsodes valdiviensis",300
"Alsodes vanzolinii",1100
"Alsodes verrucosus",300
"Altiphrynoides malcolmi",600
"Alytes cisternasii",82000
"Alytes dickhilleni",3100
"Alytes maurus",4900
"Alytes muletensis",200
"Amazophrynella bokermanni",16400
"Amazophrynella minuta",4662200
"Ambystoma altamirani",700
"Ambystoma annulatum",77100
"Ambystoma barbouri",30500
"Ambystoma bishopi",10600
"Ambystoma californiense",8000
"Ambystoma cingulatum",35000
"Ambystoma flavipiperatum",200
"Ambystoma gracile",196700
"Ambystoma granulosum",1000
"Ambystoma jeffersonianum",299400
"Ambystoma laterale",1375600
"Ambystoma mabeei",46000
"Ambystoma macrodactylum",1184200
"Ambystoma maculatum",1883300
"Ambystoma mavortium",1987200
"Ambystoma opacum",821500
"Ambystoma ordinarium",1500
"Ambystoma rivulare",400
"Ambystoma rosaceum",58400
"Ambystoma silvense",400
"Ambystoma talpoideum",288500
"Ambystoma texanum",1145100
"Ambystoma tigrinum",3566500
"Ambystoma velasci",63100
"Ameerega bassleri",11700
"Ameerega berohoka",2800
"Ameerega bilinguis",63900
"Ameerega boehmei",400
"Ameerega boliviana",4900
"Ameerega braccata",85700
"Ameerega cainarachi",1800
"Ameerega flavopicta",750400
"Ameerega hahneli",3766800
"Ameerega ignipedis",200
"Ameerega macero",81700
"Ameerega parvula",97800
"Ameerega pepperi",2900
"Ameerega petersi",84500
"Ameerega picta",699700
"Ameerega pongoensis",6500
"Ameerega pulchripecta",6600
"Ameerega rubriventris",200
"Ameerega shihuemoy",1400
"Ameerega silverstonei",1900
"Ameerega simulans",12500
"Ameerega trivittata",4043200
"Ameerega yoshina",700
"Ameerega yungicola",1200
"Amietia angolensis",234300
"Amietia chapini",12500
"Amietia delalandii",24100
"Amietia desaegeri",11300
"Amietia dracomontana",700
"Amietia fuscigula",307100
"Amietia hymenopus",3800
"Amietia johnstoni",300
"Amietia moyerorum",6300
"Amietia nutti",135400
"Amietia poyntoni",504100
"Amietia ruwenzorica",2300
"Amietia tenuoplicata",3800
"Amietia vandijki",1500
"Amietia vertebralis",19500
"Amietia wittei",7400
"Amnirana albolabris",2526900
"Amnirana amnicola",343400
"Amnirana asperrima",10200
"Amnirana darlingi",1380100
"Amnirana galamensis",3249100
"Amnirana lemairei",565200
"Amnirana lepus",1647200
"Amnirana longipes",36900
"Amnirana occidentalis",155600
"Amnirana parkeriana",700
"Amolops albispinus",1000
"Amolops aniqiaoensis",400
"Amolops archotaphus",400
"Amolops assamensis",900
"Amolops bellulus",500
"Amolops chunganensis",67600
"Amolops compotrix",22500
"Amolops cremnobatus",98700
"Amolops cucae",200
"Amolops daiyunensis",1800
"Amolops formosus",79300
"Amolops gerbillus",63400
"Amolops granulosus",48000
"Amolops hainanensis",11200
"Amolops hongkongensis",400
"Amolops iriodes",400
"Amolops jaunsari",100
"Amolops jinjiangensis",12700
"Amolops lifanensis",5400
"Amolops loloensis",21300
"Amolops mantzorum",50300
"Amolops marmoratus",223800
"Amolops medogensis",500
"Amolops minutus",1000
"Amolops monticola",26900
"Amolops nyingchiensis",1000
"Amolops panhai",21100
"Amolops spinapectoralis",11100
"Amolops splendissimus",1700
"Amolops torrentis",13800
"Amolops tuberodepressus",3000
"Amolops viridimaculatus",9100
"Amolops vitreus",3100
"Amolops wuyiensis",40400
"Amolops xinduqiao",8400
"Amphiuma means",20500
"Amphiuma pholeter",9900
"Amphiuma tridactylum",25200
"Anaxyrus americanus",4149700
"Anaxyrus baxteri",100
"Anaxyrus californicus",39300
"Anaxyrus canorus",4800
"Anaxyrus cognatus",2452300
"Anaxyrus compactilis",74300
"Anaxyrus debilis",650100
"Anaxyrus fowleri",1033400
"Anaxyrus hemiophrys",516900
"Anaxyrus houstonensis",9300
"Anaxyrus kelloggi",5900
"Anaxyrus mexicanus",27900
"Anaxyrus microscaphus",26200
"Anaxyrus punctatus",1525100
"Anaxyrus quercicus",204000
"Anaxyrus retiformis",43000
"Anaxyrus speciosus",254700
"Anaxyrus terrestris",311700
"Anaxyrus woodhousii",2673900
"Andinobates bombetes",800
"Andinobates claudiae",100
"Andinobates daleswansoni",100
"Andinobates fulguritus",12900
"Andinobates minutus",49200
"Andinobates opisthomelas",4100
"Andinobates victimatus",500
"Andinobates virolinensis",1800
"Andrias davidianus",162200
"Andrias japonicus",16900
"Aneides ferreus",71100
"Aneides hardii",4700
"Aneides lugubris",46800
"Aneides vagrans",17800
"Anhydrophryne hewitti",8100
"Anhydrophryne ngongoniensis",500
"Anhydrophryne rattrayi",1000
"Anodonthyla boulengerii",13700
"Anodonthyla emilei",100
"Anodonthyla hutchisoni",300
"Anodonthyla moramora",100
"Anodonthyla nigrigularis",900
"Anodonthyla pollicaris",400
"Anodonthyla rouxae",200
"Anomaloglossus baeobatrachus",665700
"Anomaloglossus beebei",2000
"Anomaloglossus blanci",2300
"Anomaloglossus breweri",200
"Anomaloglossus kaiei",2900
"Anomaloglossus leopardus",600
"Anomaloglossus moffetti",500
"Anomaloglossus praderioi",200
"Anomaloglossus roraima",200
"Anomaloglossus rufulus",300
"Anomaloglossus shrevei",2700
"Anomaloglossus stepheni",22600
"Anomaloglossus surinamensis",96900
"Anomaloglossus tamacuarensis",600
"Anomaloglossus tepuyensis",1600
"Anomaloglossus verbeeksnyderorum",2900
"Ansonia albomaculata",28800
"Ansonia fuliginea",300
"Ansonia glandulosa",700
"Ansonia hanitschi",13700
"Ansonia inthanon",13000
"Ansonia jeetsukumarani",100
"Ansonia kraensis",300
"Ansonia latiffi",6700
"Ansonia latirostra",100
"Ansonia leptopus",40400
"Ansonia longidigita",83500
"Ansonia mcgregori",4000
"Ansonia minuta",15000
"Ansonia muelleri",5100
"Ansonia platysoma",2400
"Ansonia siamensis",400
"Ansonia spinulifer",28600
"Ansonia teneritas",100
"Ansonia thinthinae",300
"Ansonia vidua",100
"Aphantophryne nana",200
"Aphantophryne pansa",300
"Aphantophryne parkeri",1500
"Aplastodiscus albofrenatus",8500
"Aplastodiscus albosignatus",39500
"Aplastodiscus arildae",27400
"Aplastodiscus callipygius",3600
"Aplastodiscus cavicola",6400
"Aplastodiscus cochranae",5700
"Aplastodiscus ehrhardti",13800
"Aplastodiscus eugenioi",3900
"Aplastodiscus flumineus",100
"Aplastodiscus ibirapitanga",3000
"Aplastodiscus leucopygius",19600
"Aplastodiscus musicus",600
"Aplastodiscus perviridis",226200
"Aplastodiscus sibilatus",1800
"Aquiloeurycea cafetalera",3400
"Aquiloeurycea cephalica",3300
"Aquiloeurycea galeanae",800
"Aquiloeurycea scandens",400
"Arcovomer passarellii",16700
"Arlequinus krebsi",200
"Aromobates ericksonae",300
"Aromobates mayorgai",1100
"Aromobates ornatissimus",100
"Aromobates saltuensis",300
"Aromobates tokuko",100
"Arthroleptella bicolor",500
"Arthroleptella landdrosia",500
"Arthroleptella lightfooti",200
"Arthroleptella villiersi",4600
"Arthroleptides dutoiti",100
"Arthroleptides martiensseni",400
"Arthroleptides yakusini",3100
"Arthroleptis adelphus",439900
"Arthroleptis adolfifriederici",3100
"Arthroleptis affinis",6600
"Arthroleptis aureoli",5900
"Arthroleptis carquejai",1100
"Arthroleptis crusculum",1500
"Arthroleptis formosus",100
"Arthroleptis francei",200
"Arthroleptis hematogaster",1400
"Arthroleptis krokosua",200
"Arthroleptis lameerei",751700
"Arthroleptis langeri",200
"Arthroleptis palava",6700
"Arthroleptis perreti",100
"Arthroleptis phrynoides",100
"Arthroleptis poecilonotus",1609000
"Arthroleptis pyrrhoscelis",5700
"Arthroleptis reichei",7500
"Arthroleptis schubotzi",4700
"Arthroleptis stenodactylus",2019500
"Arthroleptis sylvaticus",889000
"Arthroleptis taeniatus",642400
"Arthroleptis tanneri",500
"Arthroleptis tuberosus",1027300
"Arthroleptis variabilis",1119400
"Arthroleptis wahlbergii",13000
"Arthroleptis xenochirus",441800
"Arthroleptis xenodactyloides",935400
"Arthroleptis xenodactylus",700
"Ascaphus montanus",121100
"Ascaphus truei",174600
"Assa darlingtoni",24300
"Asterophrys eurydactyla",1500
"Asterophrys leucopus",3600
"Asterophrys marani",300
"Asterophrys slateri",31000
"Asterophrys turpicola",229400
"Astylosternus batesi",556200
"Astylosternus diadematus",14700
"Astylosternus fallax",800
"Astylosternus laticephalus",15400
"Astylosternus laurenti",2200
"Astylosternus montanus",3200
"Astylosternus occidentalis",125800
"Astylosternus perreti",200
"Astylosternus ranoides",700
"Astylosternus rheophilus",4600
"Astylosternus schioetzi",900
"Atelognathus praebasalticus",2000
"Atelognathus reverberii",500
"Atelognathus salai",1400
"Atelopus andinus",1800
"Atelopus arthuri",200
"Atelopus bomolochos",100
"Atelopus boulengeri",2800
"Atelopus carrikeri",900
"Atelopus certus",900
"Atelopus coynei",3300
"Atelopus elegans",200
"Atelopus exiguus",500
"Atelopus flavescens",400
"Atelopus franciscus",27900
"Atelopus glyphus",200
"Atelopus ignescens",7200
"Atelopus limosus",1600
"Atelopus loettersi",6400
"Atelopus lozanoi",400
"Atelopus marinkellei",1000
"Atelopus mittermeieri",100
"Atelopus muisca",100
"Atelopus nahumae",300
"Atelopus nepiozomus",2300
"Atelopus oxapampae",100
"Atelopus palmatus",200
"Atelopus petersi",1600
"Atelopus pulcher",4500
"Atelopus seminiferus",1300
"Atelopus simulatus",700
"Atelopus spumarius",754600
"Atelopus spurrelli",19500
"Atelopus tricolor",200
"Atelopus varius",3300
"Atelopus walkeri",300
"Aubria masako",1042000
"Aubria occidentalis",195800
"Aubria subsigillata",138500
"Austrochaperina adelphe",107700
"Austrochaperina basipalmata",8700
"Austrochaperina blumi",500
"Austrochaperina derongo",41500
"Austrochaperina fryi",5700
"Austrochaperina gracilipes",71300
"Austrochaperina hooglandi",100
"Austrochaperina macrorhyncha",18900
"Austrochaperina mehelyi",3500
"Austrochaperina novaebritanniae",5300
"Austrochaperina palmipes",18600
"Austrochaperina parkeri",11200
"Austrochaperina pluvialis",12000
"Austrochaperina punctata",500
"Austrochaperina rivularis",7300
"Austrochaperina robusta",7800
"Austrochaperina septentrionalis",700
"Austrochaperina yelaensis",1400
"Babina holsti",200
"Babina subaspera",700
"Bahius bilineatus",17500
"Barbarophryne brongersmai",31000
"Barbourula busuangensis",1600
"Barbourula kalimantanensis",200
"Barycholos pulcher",4600
"Barycholos ternetzi",438000
"Barygenys apodasta",1200
"Barygenys atra",4700
"Barygenys cheesmanae",100
"Barygenys exsul",1400
"Barygenys maculata",800
"Barygenys nana",2800
"Barygenys parvula",300
"Batrachoseps attenuatus",38000
"Batrachoseps diabolicus",2300
"Batrachoseps gabrieli",400
"Batrachoseps gavilanensis",3300
"Batrachoseps gregarius",6300
"Batrachoseps incognitus",800
"Batrachoseps kawia",1400
"Batrachoseps luciae",1500
"Batrachoseps major",5800
"Batrachoseps minor",600
"Batrachoseps nigriventris",6300
"Batrachoseps pacificus",200
"Batrachoseps regius",100
"Batrachoseps relictus",700
"Batrachoseps wrighti",7200
"Batrachuperus karlschmidti",200
"Batrachuperus londongensis",1900
"Batrachuperus pinchonii",47800
"Batrachuperus tibetanus",55200
"Batrachyla antartandica",53900
"Batrachyla leptopus",64500
"Batrachyla taeniata",55600
"Bijurana nicobariensis",451600
"Blommersia angolafa",6000
"Blommersia blommersae",3800
"Blommersia dejongi",1200
"Blommersia domerguei",5600
"Blommersia galani",1100
"Blommersia grandisonae",21900
"Blommersia kely",1900
"Blommersia sarotra",3800
"Blommersia transmarina",400
"Blommersia wittei",37400
"Boana aguilari",200
"Boana albomarginata",149500
"Boana albonigra",27300
"Boana albopunctata",1946100
"Boana alemani",1700
"Boana atlantica",11100
"Boana balzani",20400
"Boana bischoffi",86200
"Boana boans",5648500
"Boana buriti",500
"Boana caingua",25600
"Boana calcarata",4150500
"Boana callipleura",6300
"Boana cinerascens",5046200
"Boana cipoensis",14100
"Boana claresignata",4700
"Boana clepsydra",3400
"Boana cordobae",4200
"Boana crepitans",3367800
"Boana curupi",600
"Boana cymbalum",100
"Boana dentei",154500
"Boana exastis",100
"Boana faber",259200
"Boana fasciata",4673200
"Boana fuentei",200
"Boana geographica",9507400
"Boana gladiator",3000
"Boana goiana",97400
"Boana guentheri",21100
"Boana heilprini",14500
"Boana hobbsi",209700
"Boana hutchinsi",60700
"Boana jimenezi",2900
"Boana joaquini",3100
"Boana lanciformis",4111900
"Boana latistriata",200
"Boana lemai",19100
"Boana leptolineata",15100
"Boana leucocheila",100
"Boana lundii",532400
"Boana marginata",4400
"Boana marianitae",38400
"Boana melanopleura",100
"Boana microderma",282100
"Boana multifasciata",1629800
"Boana nympha",162900
"Boana ornatissima",351300
"Boana palaestes",300
"Boana pardalis",84600
"Boana pellucens",30400
"Boana phaeopleura",2600
"Boana picturata",58500
"Boana polytaenia",26100
"Boana pombali",24200
"Boana prasina",163400
"Boana pugnax",146400
"Boana pulchella",314600
"Boana punctata",6816300
"Boana raniceps",5015200
"Boana rhythmica",300
"Boana riojana",103100
"Boana roraima",2400
"Boana rosenbergi",114600
"Boana rubracyla",24600
"Boana rufitela",21000
"Boana secedens",200
"Boana semiguttata",3500
"Boana semilineata",181100
"Boana sibleszi",73100
"Boana stellae",3200
"Boana stenocephala",100
"Boana tepuiana",45300
"Boana tetete",4700
"Boana wavrini",2306100
"Boehmantis microtympanum",2500
"Bokermannohyla alvarengai",3600
"Bokermannohyla astartea",34800
"Bokermannohyla caramaschii",4800
"Bokermannohyla carvalhoi",2300
"Bokermannohyla circumdata",6900
"Bokermannohyla gouveai",500
"Bokermannohyla hylax",39000
"Bokermannohyla ibitiguara",100
"Bokermannohyla itapoty",200
"Bokermannohyla izecksohni",100
"Bokermannohyla langei",100
"Bokermannohyla lucianae",100
"Bokermannohyla luctuosa",6800
"Bokermannohyla martinsi",5000
"Bokermannohyla nanuzae",4400
"Bokermannohyla oxente",3200
"Bokermannohyla pseudopseudis",192900
"Bokermannohyla saxicola",59200
"Bokermannohyla sazimai",11100
"Bokermannohyla vulcaniae",200
"Bolitoglossa adspersa",7000
"Bolitoglossa alberchi",4300
"Bolitoglossa altamazonica",1763700
"Bolitoglossa alvaradoi",2600
"Bolitoglossa anthracina",200
"Bolitoglossa aureogularis",100
"Bolitoglossa biseriata",87000
"Bolitoglossa borburata",2600
"Bolitoglossa bramei",300
"Bolitoglossa carri",100
"Bolitoglossa cataguana",100
"Bolitoglossa celaque",100
"Bolitoglossa centenorum",100
"Bolitoglossa cerroensis",300
"Bolitoglossa chica",3200
"Bolitoglossa chinanteca",400
"Bolitoglossa colonnea",10500
"Bolitoglossa compacta",700
"Bolitoglossa conanti",400
"Bolitoglossa copinhorum",400
"Bolitoglossa cuchumatana",3400
"Bolitoglossa cuna",800
"Bolitoglossa decora",100
"Bolitoglossa dofleini",3300
"Bolitoglossa dunni",200
"Bolitoglossa engelhardti",1100
"Bolitoglossa epimela",100
"Bolitoglossa equatoriana",20500
"Bolitoglossa eremia",100
"Bolitoglossa flavimembris",1400
"Bolitoglossa flaviventris",600
"Bolitoglossa franklini",2300
"Bolitoglossa gomezi",100
"Bolitoglossa gracilis",300
"Bolitoglossa guaneae",2400
"Bolitoglossa guaramacalensis",300
"Bolitoglossa hartwegi",3300
"Bolitoglossa heiroreias",100
"Bolitoglossa helmrichi",4900
"Bolitoglossa hermosa",300
"Bolitoglossa hypacra",200
"Bolitoglossa indio",300
"Bolitoglossa jugivagans",100
"Bolitoglossa kaqchikelorum",100
"Bolitoglossa la",100
"Bolitoglossa lignicolor",6200
"Bolitoglossa lincolni",2900
"Bolitoglossa longissima",100
"Bolitoglossa lozanoi",12300
"Bolitoglossa macrinii",3300
"Bolitoglossa magnifica",100
"Bolitoglossa marmorea",100
"Bolitoglossa medemi",27800
"Bolitoglossa meliana",500
"Bolitoglossa mexicana",107400
"Bolitoglossa minutula",600
"Bolitoglossa morio",2400
"Bolitoglossa mucuyensis",200
"Bolitoglossa mulleri",900
"Bolitoglossa nicefori",3600
"Bolitoglossa nigrescens",400
"Bolitoglossa nympha",6500
"Bolitoglossa oaxacensis",800
"Bolitoglossa occidentalis",9400
"Bolitoglossa odonnelli",1800
"Bolitoglossa omniumsanctorum",900
"Bolitoglossa orestes",1200
"Bolitoglossa pacaya",100
"Bolitoglossa palmata",3000
"Bolitoglossa pandi",600
"Bolitoglossa paraensis",8000
"Bolitoglossa pesrubra",600
"Bolitoglossa phalarosoma",8000
"Bolitoglossa platydactyla",46800
"Bolitoglossa porrasorum",300
"Bolitoglossa ramosi",5700
"Bolitoglossa riletti",300
"Bolitoglossa robusta",3500
"Bolitoglossa rostrata",900
"Bolitoglossa rufescens",26400
"Bolitoglossa salvinii",2200
"Bolitoglossa savagei",2700
"Bolitoglossa schizodactyla",10400
"Bolitoglossa sima",10400
"Bolitoglossa sombra",400
"Bolitoglossa sooyorum",100
"Bolitoglossa striatula",55500
"Bolitoglossa stuarti",1600
"Bolitoglossa subpalmata",1200
"Bolitoglossa synoria",100
"Bolitoglossa tamaense",100
"Bolitoglossa tatamae",600
"Bolitoglossa taylori",200
"Bolitoglossa tenebrosa",900
"Bolitoglossa vallecula",5000
"Bolitoglossa veracrucis",2000
"Bolitoglossa walkeri",4600
"Bolitoglossa xibalba",1000
"Bolitoglossa yariguiensis",100
"Bolitoglossa yucatana",41700
"Bolitoglossa zapoteca",100
"Bombina bombina",728300
"Bombina lichuanensis",700
"Bombina orientalis",415700
"Boophis albilabris",27900
"Boophis albipunctatus",6500
"Boophis andohahela",4000
"Boophis andreonei",4600
"Boophis anjanaharibeensis",1200
"Boophis ankaratra",16400
"Boophis arcanus",700
"Boophis axelmeyeri",12000
"Boophis baetkei",100
"Boophis blommersae",2300
"Boophis boehmei",8200
"Boophis boppa",900
"Boophis bottae",4700
"Boophis brachychir",4800
"Boophis calcaratus",7300
"Boophis doulioti",214600
"Boophis elenae",800
"Boophis englaenderi",2500
"Boophis entingae",3200
"Boophis erythrodactylus",2000
"Boophis fayi",3600
"Boophis feonnyala",1800
"Boophis goudotii",6400
"Boophis guibei",2000
"Boophis haematopus",500
"Boophis haingana",300
"Boophis idae",5100
"Boophis jaegeri",500
"Boophis laurenti",100
"Boophis lichenoides",16300
"Boophis luciae",500
"Boophis luteus",11900
"Boophis madagascariensis",32000
"Boophis majori",2400
"Boophis mandraka",100
"Boophis marojezensis",20300
"Boophis microtympanum",2500
"Boophis miniatus",4700
"Boophis narinsi",500
"Boophis nauticus",200
"Boophis obscurus",2000
"Boophis occidentalis",300
"Boophis opisthodon",10200
"Boophis pauliani",26800
"Boophis periegetes",4200
"Boophis picturatus",4700
"Boophis piperatus",300
"Boophis popi",2600
"Boophis praedictus",3300
"Boophis pyrrhus",3100
"Boophis quasiboehmei",2500
"Boophis rappiodes",4100
"Boophis reticulatus",16500
"Boophis rhodoscelis",3800
"Boophis roseipalmatus",3300
"Boophis rufioculis",4000
"Boophis sambirano",600
"Boophis schuboeae",500
"Boophis septentrionalis",7300
"Boophis sibilans",5900
"Boophis spinophis",500
"Boophis tampoka",100
"Boophis tasymena",9300
"Boophis tephraeomystax",71200
"Boophis ulftunni",1700
"Boophis viridis",14100
"Boophis vittatus",6200
"Boophis xerophilus",2900
"Boulengerula boulengeri",1300
"Boulengerula changamwensis",300
"Boulengerula taitana",300
"Boulengerula uluguruensis",1000
"Brachycephalus alipioi",100
"Brachycephalus didactylus",10800
"Brachycephalus ephippium",43200
"Brachycephalus hermogenesi",13300
"Brachycephalus nodoterga",100
"Brachycephalus vertebralis",1200
"Bradytriton silus",200
"Brasilotyphlus braziliensis",55900
"Breviceps acutirostris",4100
"Breviceps adspersus",1962900
"Breviceps bagginsi",500
"Breviceps fichus",2500
"Breviceps fuscus",6300
"Breviceps gibbosus",2500
"Breviceps macrops",5100
"Breviceps montanus",4100
"Breviceps mossambicus",940000
"Breviceps namaquensis",7700
"Breviceps poweri",844300
"Breviceps rosei",3500
"Breviceps sopranus",6300
"Breviceps sylvestris",4000
"Breviceps verrucosus",74500
"Bromeliohyla bromeliacia",4100
"Bromeliohyla dendroscarta",1600
"Bromeliohyla melacaena",100
"Bryophryne hanssaueri",100
"Bryophryne nubilosus",200
"Buergeria buergeri",91100
"Buergeria choui",4300
"Buergeria japonica",2100
"Buergeria otai",4800
"Buergeria oxycephala",12400
"Buergeria robusta",9800
"Bufo aspinius",700
"Bufo bankorensis",18900
"Bufo bufo",6579900
"Bufo cryptotympanicus",6900
"Bufo eichwaldi",8200
"Bufo gargarizans",4468700
"Bufo japonicus",154100
"Bufo pageoti",12500
"Bufo stejnegeri",77800
"Bufo torrenticola",7800
"Bufo verrucosissimus",27800
"Bufotes balearicus",101800
"Bufotes latastii",8200
"Bufotes luristanicus",12200
"Bufotes oblongus",4000
"Bufotes pseudoraddei",6600
"Bufotes surdus",4400
"Bufotes turanensis",146100
"Bufotes variabilis",2201300
"Bufotes viridis",3221100
"Bufotes zugmayeri",300
"Cacosternum aggestum",4400
"Cacosternum australis",1200
"Cacosternum boettgeri",2156900
"Cacosternum capense",4900
"Cacosternum karooicum",12300
"Cacosternum leleupi",15900
"Cacosternum namaquense",10700
"Cacosternum nanogularum",200
"Cacosternum parvum",23700
"Cacosternum platys",500
"Cacosternum plimptoni",31100
"Cacosternum rhythmum",10900
"Cacosternum striatum",12300
"Caecilia abitaguae",2200
"Caecilia bokermanni",1700
"Caecilia corpulenta",200
"Caecilia degenerata",5400
"Caecilia disossea",6200
"Caecilia dunni",100
"Caecilia flavopunctata",500
"Caecilia gracilis",566200
"Caecilia guntheri",16900
"Caecilia isthmica",600
"Caecilia leucocephala",35800
"Caecilia marcusi",34700
"Caecilia nigricans",71200
"Caecilia occidentalis",700
"Caecilia orientalis",1700
"Caecilia pachynema",3100
"Caecilia perdita",15100
"Caecilia pressula",100
"Caecilia subdermalis",6100
"Caecilia subnigricans",77300
"Caecilia tentaculata",4151300
"Caecilia tenuissima",200
"Caecilia thompsoni",14200
"Caecilia volcani",4500
"Callimedusa atelopoides",419700
"Callimedusa ecuatoriana",1100
"Callimedusa perinesos",100
"Callimedusa tomopterna",4841600
"Callixalus pictus",2100
"Callulina dawida",100
"Callulina kreffti",6200
"Callulina laphami",100
"Callulops bicolor",200
"Callulops comptus",1100
"Callulops doriae",26600
"Callulops dubius",3400
"Callulops eremnosphax",800
"Callulops fuscus",800
"Callulops humicola",1700
"Callulops kopsteini",500
"Callulops marmoratus",100
"Callulops microtis",5300
"Callulops neuhaussi",100
"Callulops personatus",7300
"Callulops robustus",200
"Callulops stellatus",400
"Callulops stictogaster",5300
"Callulops taxispilotus",39700
"Callulops valvifer",2000
"Callulops wilhelmanus",3800
"Calotriton arnoldi",100
"Calotriton asper",13300
"Calyptocephalella gayi",3700
"Capensibufo magistratus",100
"Capensibufo rosei",300
"Capensibufo selenophos",200
"Capensibufo tradouwi",4800
"Cardioglossa annulata",600
"Cardioglossa congolia",200
"Cardioglossa cyaneospila",1300
"Cardioglossa elegans",136800
"Cardioglossa escalerae",722300
"Cardioglossa gracilis",614500
"Cardioglossa gratiosa",881000
"Cardioglossa leucomystax",1232200
"Cardioglossa melanogaster",500
"Cardioglossa nigromaculata",14400
"Cardioglossa occidentalis",120300
"Cardioglossa oreas",800
"Cardioglossa pulchra",3000
"Cardioglossa venusta",600
"Celsiella revocata",1100
"Centrolene altitudinalis",500
"Centrolene antioquiense",2400
"Centrolene ballux",500
"Centrolene buckleyi",25200
"Centrolene daidalea",4100
"Centrolene heloderma",2300
"Centrolene huilensis",100
"Centrolene hybrida",4300
"Centrolene medemi",1200
"Centrolene notosticta",4300
"Centrolene ocellifera",800
"Centrolene peristicta",5000
"Centrolene petrophilum",300
"Centrolene quindianum",300
"Centrolene robledoi",3300
"Centrolene savagei",3100
"Centrolene solitaria",300
"Centrolene venezuelense",3600
"Ceratophrys aurita",212900
"Ceratophrys calcarata",103900
"Ceratophrys cornuta",4804600
"Ceratophrys cranwelli",364100
